Строка поиска	Translation
%1 не найден;	%1 የሚሰጡዋቸውን
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 ግምገማዎች በይፋ እንዴት ጋር ይገናኛሉ ወደ ላይ <%2> <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 ውስጥ አለብዎት ናቸው ምንም መዝገብ ላይ ማስመዝገብ %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 ወድቋል መፍጠር recordset.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 ወድቋል መፍጠር recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2. ን.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	ቁጥር %1. ርዕስ ቅድሚያ የሚሰጡዋቸውን<%2>. ስም ቅድሚያ የሚሰጡዋቸውን<%3>. Textpos ቅድሚያ የሚሰጡዋቸውን <%4>
TestClient НЕ подключен.	TestClient የሚሰጡዋቸውን.
TestClient подключен на %1 порту.	TestClient ይታያል %1.
Web клиент не поддерживает запись действий пользователя.	ቅድሚያ የታዘዘ አይደግፍም ቀረጻ ነው የተጠቃሚ.
Активирую окно с координатами: %1;%2	አሁን መስኮት ይታያል: %1
Активная форма не найдена	የአሁን ቅጽ አይገኝም
Активное окно не найдено.	የአሁን መስኮት አይደለም.
больше	ተጨማሪ
больше или равно	አንድ ወይም እኩል
Были конфликты в именах снипетов.	አዳዲስ ግምገማዎች አሁን አገናኝ ያሉ ስሞች ይታያል.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	አንድ ይታያል ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	ነበር አዳዲስ ሊጠቀሱ መስኮት የሚሰጡዋቸውን: <%1> ተጠብቆ ነበር ማለት እነዚህ የዊንዶውስ አዳዲስ ግምገማዎች.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	ነበር አዳዲስ የማስጠንቀቂያ መስኮት. እና ተጠብቆ ነበር ማለት እነዚህ የዊንዶውስ አዳዲስ ግምገማዎች.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	ውስጥ እሴት ቅጽ ቅድሚያ %1 ስምዎ ሕብረቁምፊ <%2>. አሁን እሴት ነው መስክ <%3>
В ИБ загружены объекты: %1 шт.	በዚህ በይፋ ቅድሚያ የሚሰጡዋቸውን: %1 ኢ. ኤ.
В каталоге <%1> должен был быть один файл xml.	ውስጥ ዶሴ <%1> ነበር መገለጫዎ ጋር ነጠላ ቅድሚያ.
В меню нет значения <%1>	የሚሰጡዋቸውን ተጨማሪ እሴት <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	ውስጥ ሜታዳታ የ %1 አልነበረም ስምዎ ላይ ቁልፍ <%2>. ስህተት ውስጥ አለብዎት ውሂብ
В параметрах JSON не найден каталог Фич.	ውስጥ አማራጮች ቅድሚያ የሚሰጡዋቸውን የማውጫ.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	ውስጥ ቅድሚያ ጽሑፉ አይደለም ቅድሚያ የሚሰጡዋቸውን ሰዎች መዳን እሴት ይዘው ስም <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	ውስጥ ይታያል <Ustroitelstva> የማይሰራ parameter ዓይነት <%1>. የዘመኑ ዓይነት: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	ወደ የሚሰጡዋቸውን ሰንጠረዥ ሁለት ቀለሞች በተመሳሳይ አርእስት: %1.
