Строка поиска	Translation
%1 не найден;	%1 tapılmadı
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 bacarmıram idarə rekvizit <%2> var obyekt <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 maketin yoxdur qeydlər üçün reyestrinin %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 bilmədi yaratmaq, yeni dəsti qeydlər.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 bilmədi yaratmaq, yeni dəsti qeydlər%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 bilmədi yeni maddə yaratmaq.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	№%1. Adı=<%2>. Adı=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient bağlı DEYİL.
TestClient подключен на %1 порту.	TestClient bağlı azn %1 limanında.
Web клиент не поддерживает запись действий пользователя.	Web müştəri dəstəkləyir və hesab hərəkətlərinin istifadəçi.
Активирую окно с координатами: %1;%2	Активирую pəncərə koordinatları: %1
Активная форма не найдена	Aktiv forması tapılmadı
Активное окно не найдено.	Fəal pəncərə tapılmadı.
больше	daha çox
больше или равно	böyük və ya bərabərdir
Были конфликты в именах снипетов.	İdi münaqişələr adları снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Var idi səhvlər ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Tapılmışdır pəncərə xəbərdarlıq mətn ilə: <%1> İsə gözlənilir ki, bu cür pəncərələr olmayacaq.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Tapılmışdır pəncərə xəbərdarlıq. Amma gözlənilir, belə ki, windows heç də olacaq.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Dəyəri vurun formaları %1 tapılmadı string <%2>. Cari dəyəri sahələri <%3>
В ИБ загружены объекты: %1 шт.	Bu İT nazil obyektləri: %1 əd.
В каталоге <%1> должен был быть один файл xml.	Kataloqda <%1> olmalı idi bir xml fayl.
В меню нет значения <%1>	Menyu yoxdur dəyərlər <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Bu metadata %1 tapılmadı rekvizit-əsas <%2>. Səhv maketin məlumat
В параметрах JSON не найден каталог Фич.	Bu göstəriciləri JSON tapılmadı kataloq Фич.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Dəyişən Konteksti aşkar əvvəllər saxlanılır əhəmiyyət adı ilə <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Bu proseduru <УстановитьРезультатУсловия> təhvil səhv növü təyin <%1>. Gözlənilən növü: Булево.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Bu результирующей masa mövcuddur iki sütun eyni başlığı: %1
В списке нет значения <%1>	Siyahıda yoxdur dəyərlər <%1>
В строке <%1> не найдена подстрока <%2>	Bar <%1> tapılmadı подстрока <%2>
В сценарии <%1> найден тег исключение <%2>	Bu ssenarilər <%1> aşkar tag istisna <%2>
В сценарии <%1> найден тег отбор <%2>	Bu ssenarilər <%1> aşkar tag seçimi <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	Cədvəldə <%1> aşkar əhəmiyyət %2, və bu olmalı idi.
В таблице <%1>  нет колонки <%2>	Cədvəldə <%1> heç bir sütun <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Cədvəldə <%1> bar saylı%2 aşkar əhəmiyyət %3 isə onun olmalı idi.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	Cədvəldə <%1> aşkar <%2> dəyərlər. Bəs gözlənilir <%3>. Adı sütun <%4>. Axtarış əhəmiyyət <%5>
В таблице <%1> не найдено ни одной строки	Cədvəldə <%1> aşkar heç bir satır
В таблице <%1> не найдено ячейки с заголовком <%2>	Cədvəldə <%1> aşkar hüceyrələri ilə başlığı <%2>
В таблице <%1> не найдены колонки: %2	Cədvəldə <%1> aşkar sütun: %2
В таблице <%1> не получилось активизировать поле <%2>.	Cədvəldə <%1> alınmadı gücləndirmək sahəsində <%2>.
В таблице <%1> нет строк для выбора.	Cədvəldə <%1> no strings seçmək üçün.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	Cədvəldə <%1> gözlənilir əldə <%2> satır, əldə <%3> satır.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	Cədvəldə <%1> gözlənilir almaq %2 %3 satır, əldə <%4> satır.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	Cədvəldə <%1> gözləyirdik daha çox almaq <%2> satır, əldə <%3> satır.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	Cədvəldə <%1> gözləyirdik daha çox almaq və ya bərabərdir <%2> satır, əldə <%3> satır.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	Cədvəldə <%1> gözlənilir almaq az <%2> satır, əldə <%3> satır.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	Cədvəldə <%1> gözlənilir almaq az və ya bərabərdir <%2> satır, əldə <%3> satır.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	Cədvəldə <%1> itkin sütun <%2>, указанная parametrlərinə.
В таблице <%1> поле с заголовком <%2> не найдено.	Cədvəldə <%1> sahəsində başlığı <%2> tapılmadı.
В таблице <%1> поле с именем <%2> не найдено.	Cədvəldə <%1> sahəsində adı ilə <%2> tapılmadı.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	Cədvəldə <%1> biz sahələri <%2> gözlənilir açılış açılan siyahı, amma görmədik.
В таблице не найдена колонка <%1>	Cədvəldə tapılmadı sütun <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	Cədvəldə parametrləri deyil verilib adı yeni profil. Sütun <Adı qoşulmaq>
В таблице подключений уже есть подключение с именем <%1>	Cədvəldə əlaqələri artıq bir bağlantısı adı ilə <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	Bu табличном sənəddə %1 sütun isə gözlənilən %2 sütun.
В табличном документе %1 строк, а ожидалось %2 строк.	Bu табличном sənəddə %1 xətləri isə gözlənilən %2 satır.
В табличном документе %1 строк, а ожидалось, что он пустой.	Bu табличном sənəddə %1 satır, gözlənilir ki, o, boş.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	Bu табличном sənəddə sütununda <%1> əhəmiyyət şərtinə uyğun 'Əhəmiyyəti sütununda %2 %3'. Cari dəyəri sütun <%4>. Bir sıra <%5>, sütun <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Bu табличном sənəddə sütununda <%1> gözlənilir əhəmiyyət <%2>, tapıb <%3>. Bir sıra <%4>, sütun <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Bu табличном sənəddə sütununda <%1> gözləyirdik ki, olmayacaq dəyərlər <%2>, tapıb <%3>. Bir sıra <%4>, sütun <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	Bu табличном sənəddə sütununda saylı%1 dəyəri= <%2> , gözlənilən <%3>
В табличном документе колонка <%1> не найдена.	Bu табличном sənəddə sütun <%1> tapılmadı.
В файле <%1> нашли строки, а ожидали, что их нет:%2	Fayl <%1> tapıb satır isə gözləyirdik ki, yoxdur:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	Fayl <%1> aşkar xətt isə gözləyirdik ki, onlar orada var:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	Bu фиче <%1> ssenari <%2> aşkar tag istisna <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	Bu фиче <%1> ssenari <%2> aşkar tag seçimi <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	Bu addım lazımdır ötürmək masa Gherkin olan, 2 və ya daha çox satır.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	Bu etalon masa mövcuddur iki sütun eyni başlığı: %1
ВерсияVA	ВерсияVA
ВерсияПлатформы	ВерсияПлатформы
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Yandırın bayrağı <Daxil debug mesajları> görmək üçün yerinə yetirilən komanda.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Внутреняя səhv. Natamam doldurulması ağac metadata. İtkin obyekt əmələ növü - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Внутреняя səhv. Natamam doldurulması qurumlar ссылочных növləri - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	Zamanı qoyulan ssenari <%1> verilib <%2> masalar, o isə qəbul etmir, yalnız <%3> masalar.
Возможно это обработка для обычных форм, а не для управляемых форм.	Bəlkə də bu, emal üçün adi formaları üçün deyil, idarə formaları.
Возможно это обработка для управляемых форм, а не для обычных форм.	Bəlkə də bu emal etmək üçün, idarə formaları üçün deyil, adi formaları.
Все проверки пройдены.	Bütün yoxlamadan keçməli olduğu sınaqlar idi.
Вызов метода <%1>: %2	Etiraz üsulu <%1>: %2
Выпадающий список <%1> не был сформирован.	Açılan siyahısı <%1> yaradılıb.
Выпадающий список <%1> не открылся для ввода текста.	Açılan siyahısı <%1> açılıb üçün mətn daxil etmək.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	Açılan siyahısı <%1>. Gözləyirdik ki, orada olacaq mətn %2, almışlar %3.
Выпадающий список с заголовком <%1> не найден.	Açılan siyahısı ilə başlığı <%1> tapılmadı.
Выпадающий список с именем <%1> не найден.	Açılan siyahısı adı ilə <%1> tapılmadı.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Yerinə ssenari başa çatıb. SƏHVLƏR.
Выполнение сценариев закончено. Ошибок не было.	Yerinə ssenari başa çatıb. Səhvlər yox idi.
Выполняю	Yerinə yetirirəm
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	İfadə <%1> çıxdı bərabərdir <%2>, gözləyirdik <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Generator layout real məlumat: bacarmıram idarə bu tip <%1>
ГолосовойДвижок - OK	ГолосовойДвижок - OK
Группа с заголовком <%1> не найдена.	Qrupu ilə başlığı <%1> tapılmadı.
Группа с именем <%1> не найдена.	Qrupu adı ilə <%1> tapılmadı.
Данные по основному подключению Клиента тестирования перезаполнены.	Məlumat əsas birləşdirən Testclient перезаполнены.
Данный шаг не работает с таблицами.	Bu addımı ilə işləmir masalar.
ДатаВремяОшибки	ДатаВремяОшибки
Делаю общий скриншот.	Bunu ümumi bir ekran.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Bunu restart TESTCLİENT. ОписаниеОшибки=%1
Делаю распаковку %1	Bunu распаковку %1
Делаю скриншот.	Bunu ekran.
Делаю скриншоты всех окон 1С.	Bunu bütün ekran windows, 1C.
Длительность MP3 = 0. Файл=%1	Müddəti MP3 = 0. Fayl=%1
Для <%1> не найдено документа основания	Üçün <%1> aşkar sənədin əsas
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	Yaratmaq üçün EPF yüklü olmalıdır 1Script. Bu cmd aparılmalıdır komanda: oscript
