Строка поиска	Translation
%1 не найден;	%1 не е намерена
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Не знам как се справят с подпори <%2> обект <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 в структурата няма записи за регистъра %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 не може да се създаде нов набор от записи.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 не може да се създаде нов набор от записи%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 неуспех при създаване на нов елемент.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Брой%1. Заглавие=<%2>. Име=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient които НЕ са свързани.
TestClient подключен на %1 порту.	TestClient е свързан към %1 в порто.
Web клиент не поддерживает запись действий пользователя.	Web клиентът не поддържа запис на действията на потребителя.
Активирую окно с координатами: %1;%2	Активирую прозорец с координати: %1
Активная форма не найдена	Активната форма не е намерена
Активное окно не найдено.	Активния прозорец не е намерен.
больше	повече
больше или равно	по-голямо или равно
Были конфликты в именах снипетов.	Бяха конфликти в имената на снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Имаше грешки в ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Установено е прозорец с предупреждение с текст: <%1> Както се очакваше, че тези прозорци няма.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Установено е прозорец с предупреждение. Както и се очакваше, че тези прозорци няма.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	В стойността на елемента на форма %1 не е намерена ред <%2>. Текущата стойност на полето <%3>
В ИБ загружены объекты: %1 шт.	В IB натоварени обекти: %1 бр.
В каталоге <%1> должен был быть один файл xml.	В директорията <%1> трябва да бъде един файл с xml.
В меню нет значения <%1>	В менюто не е стойност на <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	В метаданните %1 не е намерена подпори-ключ <%2>. Грешка в структурата на данните
В параметрах JSON не найден каталог Фич.	В параметрите на JSON не е намерен каталог Функции.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	В променлива е Контекстът не е открит по-рано запазена с име <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	В процедура <УстановитьРезультатУсловия> предаден невалиден тип на параметър <%1>. Очакваното тип: Булев.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	В резултат от таблица има две колони с едно и също заглавие: %1
В списке нет значения <%1>	В списъка на стойността <%1>
В строке <%1> не найдена подстрока <%2>	В лентата на <%1> не е намерена подниз <%2>
В сценарии <%1> найден тег исключение <%2>	В сценарий <%1> е намерен таг изключение на <%2>
В сценарии <%1> найден тег отбор <%2>	В сценарий <%1> е намерен таг подбор на <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	В таблицата <%1> НЯМА намерени стойност %2, а той е трябвало да бъде.
В таблице <%1>  нет колонки <%2>	В таблицата <%1> няма колона <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	В таблицата <%1> в лентата брой%2 намерени стойност от 3%, а не е трябвало.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	В таблицата <%1> found <%2> стойности. Както очаквали <%3>. Име на колона <%4>. Целева стойност <%5>
В таблице <%1> не найдено ни одной строки	В таблицата <%1> не е намерен нито един ред
В таблице <%1> не найдено ячейки с заголовком <%2>	В таблицата <%1> не са открити клетки с глава <%2>
В таблице <%1> не найдены колонки: %2	В таблицата <%1> не са намерени колони: %2
В таблице <%1> не получилось активизировать поле <%2>.	В таблицата <%1> не успя да засили полето <%2>.
В таблице <%1> нет строк для выбора.	В таблицата <%1> няма редове за избор.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	В таблицата <%1> очаквали да получат <%2> редове, а са получили <%3> редовете.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	В таблицата <%1> очаквали да получат %2 %3 реда, а са получили <%4> редовете.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	В таблицата <%1> очаквали да получите повече <%2> редове, а са получили <%3> редовете.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	В таблицата <%1> очаква да получи по-голямо или равно <%2> редове, а са получили <%3> редовете.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	В таблицата <%1> очаква да получи по-малко от <%2> редове, а са получили <%3> редовете.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	В таблицата <%1> очаква да получи по-малко или равно на <%2> редове, а са получили <%3> редовете.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	В таблицата <%1> липсва колона <%2>, указанная в настройките.
В таблице <%1> поле с заголовком <%2> не найдено.	В таблицата <%1> поле със заглавие <%2> не е намерен.
В таблице <%1> поле с именем <%2> не найдено.	В таблицата <%1> полето с име <%2> не е намерен.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	В таблицата <%1> полета за <%2> очаквали отваряне на падащия списък, но не дойде.
В таблице не найдена колонка <%1>	В таблицата не е намерена колона <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	В таблицата за параметри, които не е било предадено на името на новия си профил. Колона <Име на връзката>
В таблице подключений уже есть подключение с именем <%1>	В таблицата връзки вече има връзка с името на <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	В таблицата документа %1 колони, а очакваното %2 колони.
В табличном документе %1 строк, а ожидалось %2 строк.	В таблицата документа %1 редове, както се очакваше %2 реда.
В табличном документе %1 строк, а ожидалось, что он пустой.	В таблицата документа %1 редове, а се очакваше, че тя е празна.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	В таблицата документа в една колона <%1> стойността не съответства на условието 'Стойност в колоната %2 %3'. Текущата стойност на колона <%4>. Серия от <%5>, колона <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	В таблицата документа в една колона <%1> очакваха стойността на <%2>, а са намерили <%3>. Серия от <%4>, колона <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	В таблицата документа в една колона <%1> очаквали, че ще има стойността на <%2>, а са намерили <%3>. Серия от <%4>, колона <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	В таблицата документа в една колона №%1 стойност= <%2> , а се очаква <%3>
В табличном документе колонка <%1> не найдена.	В таблицата документ колона <%1> не е намерен.
В файле <%1> нашли строки, а ожидали, что их нет:%2	Във файла <%1> са намерили ред, както са очаквали, че ги няма:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	Във файла <%1> не са намерени ред, както са очаквали, че те има:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	В фиче <%1> скрипт <%2> е намерен таг изключение на <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	В фиче <%1> скрипт <%2> е намерен таг подбор на <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	В стъпка трябва да се предават таблица Gherkin, в която 2 или повече струни.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	В референтния таблица има две колони с едно и също заглавие: %1
ВерсияVA	ВерсияVA
ВерсияПлатформы	ВерсияПлатформы
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Включете флаг <Enable debug съобщения> за да гледате на подготовката на отбора.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Внутреняя грешка. Непълно попълване на дърво метаданни. Липсва обект, които са вид - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Внутреняя грешка. Непълно попълване на структурата на посочените видове - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	В прикачения сценарий <%1> е било предадено на <%2> таблици, а тя е само <%3> таблици.
Возможно это обработка для обычных форм, а не для управляемых форм.	Може би това е работа за обикновените форми, а не за да управлява форми.
Возможно это обработка для управляемых форм, а не для обычных форм.	Може би това е работа за управлявани форми, а не за обикновените форми.
Все проверки пройдены.	Всички проверки са изпълнени.
Вызов метода <%1>: %2	Извикване на метода <%1>: %2
Выпадающий список <%1> не был сформирован.	Падащ списък <%1> не е създадена.
Выпадающий список <%1> не открылся для ввода текста.	Падащ списък <%1> не е открита за въвеждане на текст.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	Падащ списък <%1>. Очаквах, че в него ще се текст %2, а са получили от 3%.
Выпадающий список с заголовком <%1> не найден.	Падащ списък със заглавие <%1> не е намерен.
Выпадающий список с именем <%1> не найден.	Падащ списък с име <%1> не е намерен.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Изпълнение на скриптове завършен. ИМАШЕ ГРЕШКИ.
Выполнение сценариев закончено. Ошибок не было.	Изпълнение на скриптове завършен. Грешки нямаше.
Выполняю	Изпълнявам
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	Израз на <%1> оказа се равнява на <%2>, както очакваха <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Генератор оформление от реални данни за: Не знам как се справят с такъв тип <%1>
ГолосовойДвижок - OK	ГолосовойДвижок - OK
Группа с заголовком <%1> не найдена.	Група със заглавие <%1> не е намерен.
Группа с именем <%1> не найдена.	Група с име <%1> не е намерен.
Данные по основному подключению Клиента тестирования перезаполнены.	Данни за основния свързване Testclient перезаполнены.
Данный шаг не работает с таблицами.	Тази стъпка не работи с таблици.
ДатаВремяОшибки	ДатаВремяОшибки
Делаю общий скриншот.	Правя общ екрана.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Правя рестарт TESTCLIENT. ОписаниеОшибки=%1
Делаю распаковку %1	Правя неща, на %1
Делаю скриншот.	Правя снимка.
Делаю скриншоты всех окон 1С.	Правя скрийншотове на всички прозорци 1В.
Длительность MP3 = 0. Файл=%1	Продължителност на MP3 = 0. Файл=%1
Для <%1> не найдено документа основания	За <%1> не е намерен документ на основание
Для генерации EPF должен быть установлен 1Script. В cmd должна выполняться команда: oscript	За генериране на EPF трябва да бъде инсталиран 1Script. В cmd трябва да се извършват от екип: oscript
Для подключения с именем <%1> изменен порт подключения, указанный порт уже есть в таблице подключений.	За да се свържете с име <%1> променян порта порт вече има в таблицата връзки.
Для текущей ячейки таблицы <%1> текущее значение равно <%2>, а ожидали <%3>	За текущата клетка от таблица <%1> текущата стойност е равна на <%2>, както очакваха <%3>
Для шага <%1> не найден EPF файл.	За терена <%1> не е намерен EPF файл.
Для элемента формы %1 текущее значение равно <%2>, а ожидали <%3>	За елемента на форма %1 на текущата стойност е равна на <%2>, както очакваха <%3>
Для ячейки <%1> таблицы <%2> текущее значение равно <%3>, а ожидали <%4>	За клетката <%1> таблицата <%2> текущата стойност е равна на <%3>, както очакваха <%4>
Добавил шаг: %1	Добави стъпка: %1
ДобавитьСостояниеФормыTestclient:%1	ДобавитьСостояниеФормыTestclient:%1
Должна быть передана минимум 1 строка	Трябва да бъде върнато поне 1 ред
Должна оставаться строка подключения текущего клиента	Трябва да остане ред за свързване на текущия клиент
Должно быть передано 2 строки	Трябва да бъдат прехвърлени на 2 реда
Должны быть переданы минимум 2 строки. Первая строка с именами колонок, вторая и следующие - данные для проверки.	Следва да бъдат предадени минимум 2 реда. Първият ред с имената на колоните, втора и следните данни за проверка.
ЗавершитьЗаписьДействийПользователя:%1	ЗавершитьЗаписьДействийПользователя:%1
Загружен объект.Имя %1, Тип %2	Зареден обект.Име %1, Вид На %2
Загрузил новую версию	Качил нова версия
Загрузил снипеты из кеш	Качил снипеты от кеш
Закладка с заголовком <%1> не найдена.	Маркер със заглавие <%1> не е намерен.
Закладка с именем <%1> не найдена.	Запазвате с име <%1> не е намерен.
Закончились фичи. Не стал назначать раннеру фичу.	Изтече фичи. Не стана предписват раннеру фичу.
Закрытие TestClient <%1>	Закриване На TestClient <%1>
Записал файл статуса билда: %1	Записва файл статус на билда: %1
Записался корректный элемент.	Отишъл валиден елемент.
Записываю %1	Записвам %1
Запись действий пользователя закончена.	Запис на действията на потребителя завършена.
Запись действий пользователя начата.	Запис на действията на потребителя стартира.
Запись действий пользователя приостановлена.	Запис на действията на потребителя спряно.
Запись действий пользователя продолжена.	Запис на действията на потребителя продължи.
Запускаю генерацию epf.	Стартирате генериране на epf.
Значение (%1) заполнено, а ожидалась незаполненность %2	Стойност (%1) попълнено, а очаква се незаполненность %2
Значение (%1) не заполнено, а ожидалась заполненность%2	Стойност (%1) не е попълнено, а очаква се заполненность%2
Значение [%1:%2]. Ожидали <%3>, а получили <%4>	Стойност [%1:%2]. Очаква <%3>, а имам <%4>
Значение <%1> больше или равно, чем <%2>, а ожидалось меньше. %3	Стойността на <%1> по-голяма или равна от <%2>, а се очаква по-малко. %3
Значение <%1> больше, чем <%2>, а ожидалось меньше или равно. %3	Стойността на <%1> по-голям от <%2>, както се очакваше по-малко или равно. %3
Значение параметра %1: ожидали <%2>, получили <%3>;	Стойността на параметъра %1: очаква <%2>, получили <%3>
Значение параметра %1: ожидали подстроку <%2>, в <%3>;	Стойността на параметъра %1: очаква подниз <%2>, <%3>
Значение параметра таймаута ожидания должно быть числом. Переданное значение: %1	Стойността на параметъра чака до момента трябва да е число. Дадено изпратено стойност: %1
ЗначениеНеНайдено: Реквизит <%1>: Искали значение <%2>, но не нашли.	ЗначениеНеНайдено: Подпори <%1>: Търси стойността на <%2>, но не са намерили.
Изменения формы обработаны.	Промяна на формата на обработени.
Изменилось имя формы: было: %1, стало: %2	Се е променила името на формата: беше: %1, стана: %2
имеет длину	има дължина от
имеет тип	има вид на
Именованная область %1 не найдена;	Именованная област %1 не е намерена
ИмяКомпьютера <%1>; порт <%2>	ИмяКомпьютера <%1>
ИмяПроцедуры	ИмяПроцедуры
ИмяФайла	ИмяФайла
Искали в %1 подстроку %2, но не нашли.%3	Търси в %1 подниз %2, но не са намерили.%3
Исключение для просмотра значения.	Изключение, за да видите стойностите.
Ищу снипеты в каталоге	Търся снипеты в директорията
Ищу сценарии в каталоге	Търся сценарий в директорията
