Строка поиска	Translation
%1 не найден;	%1 wurde nicht gefunden
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 kann Nicht verarbeitet props <%2> das Objekt <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 im Layout keine Einträge für das Register %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 konnte nicht erstellt ein neues Recordset.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 konnte nicht erstellt ein neues Recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 nicht geschafft, ein neues Element zu erstellen.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Nr.%1. Header=<%2>. Name=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	Von Testclient ist NICHT angeschlossen.
TestClient подключен на %1 порту.	Von Testclient angeschlossen an %1 Port.
Web клиент не поддерживает запись действий пользователя.	Web Client nicht unterstützt Aufzeichnung von Benutzeraktionen.
Активирую окно с координатами: %1;%2	Aktiviere das Fenster mit den Koordinaten: %1
Активная форма не найдена	Die aktive Form nicht gefunden
Активное окно не найдено.	Das aktive Fenster nicht gefunden.
больше	mehr
больше или равно	größer oder gleich
Были конфликты в именах снипетов.	Gab es Konflikte im Namen der Ausschnitte.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Es gab Fehler in ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Es wurde gefunden Warnfenster mit dem Text: <%1> Und erwartet, dass diese Fenster nicht.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Es wurde gefunden, ein Hinweis. Und erwartet, dass diese Fenster nicht.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	In den Wert des formularelements %1 nicht gefunden Zeile <%2>. Der aktuelle Wert des Feldes <%3>
В ИБ загружены объекты: %1 шт.	In der is-Objekte geladen: %1 Stk.
В каталоге <%1> должен был быть один файл xml.	Im Verzeichnis <%1> musste eine xml-Datei.
В меню нет значения <%1>	Im Menü gibt es keine Werte <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	In den Metadaten von %1 nicht gefunden props-Schlüssel <%2>. Fehler im Layout der Daten
В параметрах JSON не найден каталог Фич.	In den JSON-Katalog nicht gefunden Fitch.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	In der Variable Kontext nicht erkannt auf den zuvor gespeicherten Wert mit dem Namen <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Im Verfahren <УстановитьРезультатУсловия> es wurde ein ungültiges Typ des Parameters <%1>. Der erwartete Typ: Boolesche.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	In der Tabelle gibt es zwei Spalten mit gleicher überschrift: %1
В списке нет значения <%1>	In der Liste kein Wert <%1>
В строке <%1> не найдена подстрока <%2>	In der Zeile <%1> nicht gefunden die Teilzeichenfolge <%2>
В сценарии <%1> найден тег исключение <%2>	Im Szenario <%1> Tag wurde eine Ausnahme <%2>
В сценарии <%1> найден тег отбор <%2>	Im Szenario <%1> Tag wurde die Auswahl <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	In der Tabelle <%1> NICHT gefunden, Wert %2, aber es musste sein.
В таблице <%1>  нет колонки <%2>	In der Tabelle <%1> keine Spalte <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	In der Tabelle <%1> in der Zeile Nummer%2 gefunden Wert %3, aber es sollte nicht sein.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	In der Tabelle <%1> gefunden <%2> Werte. Und erwartet <%3>. Der name der Spalte <%4>. Der gesuchte Wert <%5>
В таблице <%1> не найдено ни одной строки	In der Tabelle <%1> nicht gefunden, weder einzelne Zeile
В таблице <%1> не найдено ячейки с заголовком <%2>	In der Tabelle <%1> nicht gefunden die Zelle mit der überschrift <%2>
В таблице <%1> не найдены колонки: %2	In der Tabelle <%1> Spalte nicht gefunden: %2
В таблице <%1> не получилось активизировать поле <%2>.	In der Tabelle <%1> nicht funktioniert intensivieren Feld <%2>.
В таблице <%1> нет строк для выбора.	In der Tabelle <%1> keine Zeilen zur Auswahl.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	In der Tabelle <%1> erwarten <%2> Zeilen und erhielten <%3> Zeilen.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	In der Tabelle <%1> erwartet erhalten %2 %3 Zeilen, und erhalten <%4> Zeilen.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	In der Tabelle <%1> erwarten Sie mehr <%2> Zeilen und erhielten <%3> Zeilen.
