Строка поиска	Translation
%1 не найден;	%1 is not found;
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Can't handle <%2> attribute of <%3> object
%1.%2 в макете нет записей для регистра %3	%1.%2 the template doesn't contain %3 register records
%1.%2 не удалось создать новый набор записей.%3	%1.%2 new recordset creating is failed.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 new recordset creating is failed%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 new item creating is failed.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	№%1. Header=<%2>. Name=<%3>. FieldText = <%4>
TestClient НЕ подключен.	TestClient is NOT connected.
TestClient подключен на %1 порту.	TestClient is connected to %1 port.
Web клиент не поддерживает запись действий пользователя.	Web client does not support user actions recording.
Активирую окно с координатами: %1;%2	Activate the window with coordinates: %1;%2
Активная форма не найдена	The active form is not found
Активное окно не найдено.	The active window is not found.
больше	is greater
больше или равно	is greater or equal
Были конфликты в именах снипетов.	There have been conflicts in snippet names.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	There have been errors in ScanSourceAndFindAllStepDefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Warning window was found, the text is: <%1> These windows were not expected.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Warning window is found. These windows were not expected.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	String <%2> is not found in form attribute %1 value. Current field value <%3>
В ИБ загружены объекты: %1 шт.	The following objects have been uploaded to the infobase: %1 pc.
В каталоге <%1> должен был быть один файл xml.	Only one xml file. is supposed to be in <%1> directory.
В меню нет значения <%1>	The menu doesn't contain <%1> value
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	%1 metadata do not contain <%2> key attribute. Error in data template
В параметрах JSON не найден каталог Фич.	JSON parameters do not contain features directory.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Saved value named <%1> is not found in Context variable
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Invalid parameter <%1> type has been passed to <SetConditionResult> procedure. Expected type: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	The resulting table contains two columns with the same header: %1
В списке нет значения <%1>	The list doesn't contain <%1> value
В строке <%1> не найдена подстрока <%2>	<%1> string does not contain <%2> substring
В сценарии <%1> найден тег исключение <%2>	<%1> script contains <%2> exception tag
В сценарии <%1> найден тег отбор <%2>	<%1> script contains <%2> filter tag
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	<%1> table does NOT contain %2 expected value.
В таблице <%1>  нет колонки <%2>	<%1> table does not contain <%2> column
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Unexpected value %3 is found in %2 line of <%1> table.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	<%1> table contains <%2> values. And <%3> was expected. Column name <%4>. Expected value is <%5>
В таблице <%1> не найдено ни одной строки	<%1> table does not contain any lines
В таблице <%1> не найдено ячейки с заголовком <%2>	<%1> table does not contain cell with header <%2>
В таблице <%1> не найдены колонки: %2	<%1> table does not contain columns: %2
В таблице <%1> не получилось активизировать поле <%2>.	Cannot activate <%2> field in <%1> table.
В таблице <%1> нет строк для выбора.	<%1> table does not contain lines to select.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	Expected number of lines in <%1> table is <%2> and actual number is <%3>.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	Expected number of lines in <%1> table is %2 %3 and actual number is <%4>.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	Expected number of lines in <%1> table is greater than <%2> and actual number is <%3>.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	Expected number of lines in <%1> table is greater or equal <%2> and actual number is <%3>.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	Expected number of lines in <%1> table is less than <%2> and actual number is <%3>.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	Expected number of lines in <%1> table is less or equal <%2> and actual number is <%3>.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	<%2> Column specified in parameters is missing in <%1> table.
В таблице <%1> поле с заголовком <%2> не найдено.	Field with header <%2> is missing in <%1> table.
В таблице <%1> поле с именем <%2> не найдено.	Field named <%2> is missing in <%1> table.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	Were waiting for drop-down list in <%2> field of <%1> table but failed.
В таблице не найдена колонка <%1>	The table does not contain <%1> column
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	New profile name was not passed in the parameters table. <Connection name> column
В таблице подключений уже есть подключение с именем <%1>	Connection table already contains the connection named <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	Spreadsheet document contains %1columns, and expected %2 columns.
В табличном документе %1 строк, а ожидалось %2 строк.	Spreadsheet document contains %1 lines, and expected %2 lines.
В табличном документе %1 строк, а ожидалось, что он пустой.	Spreadsheet document contains %1 lines, and expected to be empty.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	The value in <%1> column of Spreadsheet Document doesn't match the condition 'Value in column %2 %3'. <%4> column current value. Line number <%5>, colunm <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Expected value in <%1> column in Spreadsheet Document is <%2>, and actual value is <%3>. Line number <%4>, column <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Expected the absence of <%2> value in <%1> column in Spreadsheet Document, and actual value is <%3>. Line number <%4>, column <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	Actual value in No.<%1> column in Spreadsheet Document is <%2>, and expected value is <%3>.
В табличном документе колонка <%1> не найдена.	%1 column is not found in Spreadsheet Document.
В файле <%1> нашли строки, а ожидали, что их нет:%2	Lines are found in <%1> file, and expected that they do not exist:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	Lines are not found in <%1> file, and expected that they exist:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	<%3> exception tag is found in <%1> feature of <%2> script
В фиче <%1> сценария <%2> найден тег отбор <%3>	<%3> filter tag is found in <%1> feature of <%2> script
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	Gherkin table with 2 or more lines must be passed to the step.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	The standard table contains two columns with the same header: %1
ВерсияVA	VBVersion
ВерсияПлатформы	PlatformVersion
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Turn <Enable debug messages> on to see the executed commands.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Internal error. Metadata tree incomplete filling. Object to create a type is not found - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Internal error. Incomplete filling of reference types structure - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	<%2> tables were passed to the nested script <%1>, and it only accepts <%3> tables.
Возможно это обработка для обычных форм, а не для управляемых форм.	It is possible this processor is designed for usual forms but not for managed forms.
Возможно это обработка для управляемых форм, а не для обычных форм.	It is possible this processor is designed for managed forms but not for usual forms.
Все проверки пройдены.	All checks have been passed.
Вызов метода <%1>: %2	Call method <%1>: %2
Выпадающий список <%1> не был сформирован.	The drop-down list <%1> was not filled.
Выпадающий список <%1> не открылся для ввода текста.	The drop-down list <%1> was not opened for text input.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	The drop-down list <%1>. Expect text is %2, and actual text is %3.
Выпадающий список с заголовком <%1> не найден.	The drop-down list with <%1> header is not found.
Выпадающий список с именем <%1> не найден.	The drop-down list named <%1> is not found.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Scripts execution is finished. ERRORS ARE FOUND.
Выполнение сценариев закончено. Ошибок не было.	Scripts execution is finished. No errors.
Выполняю	Executing
