Строка поиска	Translation
%1 не найден;	%1 no se ha encontrado
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 No sé manejar prop <%2> el elemento <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 en el diseño no hay registros para el registro %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 no se puede crear un nuevo conjunto de registros.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 no se puede crear un nuevo conjunto de registros%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 no se puede crear un nuevo elemento.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Nº%1. Título=<%2>. Nombre=<%3>. Tipo = <%4>
TestClient НЕ подключен.	TestClient NO está conectado.
TestClient подключен на %1 порту.	TestClient está conectado a %1 puerto.
Web клиент не поддерживает запись действий пользователя.	Web el cliente no admite la grabación de acciones de usuario.
Активирую окно с координатами: %1;%2	La activación de diálogo con las coordenadas: %1
Активная форма не найдена	Activa el formulario no se encuentra
Активное окно не найдено.	La ventana activa no se encuentra.
больше	más
больше или равно	mayor o igual a
Были конфликты в именах снипетов.	Conflictos en los nombres de снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Ha sido un error en ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Se ha encontrado una ventana de advertencia con el siguiente texto: <%1> Y se esperaba que estas ventanas no se.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Se ha encontrado una ventana de advertencia. Y se esperaba que estas ventanas no se.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	En el valor de un elemento de formulario %1 no se encuentra la cadena de <%2>. El valor actual del campo <%3>
В ИБ загружены объекты: %1 шт.	En ib cargar objetos: %1 unidad
В каталоге <%1> должен был быть один файл xml.	En el directorio <%1> tenía que ser un archivo xml.
В меню нет значения <%1>	En el menú no tiene un valor de <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	En los metadatos %1 no se ha encontrado apoyos clave <%2>. Error en la maquetación de datos
В параметрах JSON не найден каталог Фич.	En la configuración de JSON no se ha encontrado el catálogo de Prestaciones.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	En la variable de Contexto no detectado anteriormente, el valor almacenado con el nombre de <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	En el procedimiento de <УстановитьРезультатУсловия> entregado el tipo incorrecto de la opción <%1>. Es del tipo esperado: el Booleano.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	En la resultante de la tabla hay dos columnas con el mismo título: %1
В списке нет значения <%1>	En la lista no tiene un valor de <%1>
В строке <%1> не найдена подстрока <%2>	En la barra de <%1> no se encuentra la subcadena <%2>
В сценарии <%1> найден тег исключение <%2>	En el escenario de la <%1> se ha encontrado una etiqueta de excepción <%2>
В сценарии <%1> найден тег отбор <%2>	En el escenario de la <%1> se ha encontrado una etiqueta de selección <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	En la tabla <%1> el valor NO se encuentra %2, y que deberían ser.
В таблице <%1>  нет колонки <%2>	En la tabla <%1> no tiene una columna <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	En la tabla <%1> en la línea nº%2 encuentra el valor %3, y no debe ser.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	En la tabla <%1> encontrados <%2> de valores. Y espera <%3>. El nombre de la columna <%4>. El valor de búsqueda <%5>
В таблице <%1> не найдено ни одной строки	En la tabla <%1> no se encuentra ni una sola línea de
В таблице <%1> не найдено ячейки с заголовком <%2>	En la tabla <%1> no se encuentra la celda con el título de <%2>
В таблице <%1> не найдены колонки: %2	En la tabla <%1> no se han encontrado columnas: %2
В таблице <%1> не получилось активизировать поле <%2>.	En la tabla <%1> no pude activar el campo <%2>.
В таблице <%1> нет строк для выбора.	En la tabla <%1> no hay filas para la selección.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	En la tabla <%1> se espera obtener <%2> filas, y han recibido <%3> filas.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	En la tabla <%1> se espera obtener un %2 %3 filas, y han recibido <%4> filas.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	En la tabla <%1> se espera obtener más <%2> filas, y han recibido <%3> filas.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	En la tabla <%1> se espera obtener mayor o igual a <%2> filas, y han recibido <%3> filas.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	En la tabla <%1> se espera obtener un menor <%2> filas, y han recibido <%3> filas.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	En la tabla <%1> se espera obtener es menor o igual a <%2> filas, y han recibido <%3> filas.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	En la tabla <%1> falta la columna <%2>, указанная en los parámetros.
В таблице <%1> поле с заголовком <%2> не найдено.	En la tabla <%1> campo con el título de <%2> no se encuentra.
В таблице <%1> поле с именем <%2> не найдено.	En la tabla <%1> campo con el nombre de <%2> no se encuentra.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	En la tabla <%1> el campo <%2> se espera la apertura de la lista desplegable, pero no se esperaban.
В таблице не найдена колонка <%1>	En la tabla no se encuentra la columna de la <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	En la tabla de parámetros no se ha transferido el nombre del nuevo perfil. La columna <Nombre de la conexión>
В таблице подключений уже есть подключение с именем <%1>	En la tabla de conexiones ya no hay conexión con el nombre <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	En la cuadrícula de documento %1 de las columnas, y se esperaba %2 columnas.
В табличном документе %1 строк, а ожидалось %2 строк.	En la cuadrícula de documento %1 filas, y se esperaba %2 filas.
В табличном документе %1 строк, а ожидалось, что он пустой.	En la cuadrícula de documento %1 filas, y se esperaba que está vacío.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	En la cuadrícula de documento en la columna <%1> el valor no cumple la condición de 'el Valor en la columna de %2 %3'. El valor actual de la columna <%4>. Una serie de <%5> columna <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	En la cuadrícula de documento en la columna <%1> se espera un valor de <%2>, y han encontrado <%3>. Una serie de <%4> columna <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	En la cuadrícula de documento en la columna <%1> se espera que no será el valor de <%2>, y han encontrado <%3>. Una serie de <%4> columna <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	En la cuadrícula de documento en la columna nº%1 valor= <%2> , y se esperaba <%3>
В табличном документе колонка <%1> не найдена.	En la cuadrícula de documento columna <%1> no se ha encontrado.
В файле <%1> нашли строки, а ожидали, что их нет:%2	En el archivo <%1> encontrado la línea, y esperaban que no:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	En el archivo <%1> no encuentra la cadena, y esperaban que están allí:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	En fiche <%1> script <%2> se ha encontrado una etiqueta de excepción <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	En fiche <%1> script <%2> se ha encontrado una etiqueta de selección <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	En el paso, se debe comunicar la tabla Gherkin, en el que 2 o más filas.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	En la referencia de la tabla hay dos columnas con el mismo título: %1
ВерсияVA	ВерсияVA
ВерсияПлатформы	ВерсияПлатформы
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Encienda el indicador <Habilitar la depuración de mensajes> para ver los comandos que se ejecutan.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Teléfonos error. Incompleta llenar el árbol de metadatos. No hay ningún objeto, formando un tipo de - %de 1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Teléfonos error. Incompleta rellenar la estructura de los tipos de referencia - %de 1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	En adjunto el script <%1> fue transmitido <%2> tablas, y sólo se toma <%3> tablas.
Возможно это обработка для обычных форм, а не для управляемых форм.	Tal vez es un tratamiento para las formas convencionales y no de formas.
Возможно это обработка для управляемых форм, а не для обычных форм.	Tal vez es un tratamiento para las formas, y no para las formas convencionales.
Все проверки пройдены.	Todas las pruebas se ejecutan.
Вызов метода <%1>: %2	La llamada al método <%1>: %2
Выпадающий список <%1> не был сформирован.	La lista desplegable <%1> no se ha formado.
Выпадающий список <%1> не открылся для ввода текста.	La lista desplegable <%1> no se ha abierto para la entrada de texto.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	La lista desplegable <%1>. Esperaban que él será el texto %2, y recibieron %3.
Выпадающий список с заголовком <%1> не найден.	Una lista desplegable con el título <%1> no se ha encontrado.
