Строка поиска	Translation
%1 не найден;	%1 ei leitud
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Ei oska hakkama rekvisiidid <%2> objekti <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 paigutuses ei ole andmeid registrist %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 ei ole suutnud luua uus kogum.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 ei ole suutnud luua uus kogum%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 ei ole suutnud luua uus element.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Nr%1. Caption=<%2>. Nimi=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient EI ole ühendatud.
TestClient подключен на %1 порту.	TestClient on ühendatud %1 sadamas.
Web клиент не поддерживает запись действий пользователя.	Web klient ei toeta konto kasutaja tegevust.
Активирую окно с координатами: %1;%2	Активирую akna koordinaadid: %1
Активная форма не найдена	Aktiivne vorm ei leitud
Активное окно не найдено.	Aktiivne aken ei leitud.
больше	rohkem
больше или равно	rohkem või võrdne
Были конфликты в именах снипетов.	Olid konfliktid nimedes снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Olid vead ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Leiti hoiatus kasti koos tekstiga: <%1> Ja loodeti, et selliseid aknaid ei ole.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Leiti hoiatus kasti. Ja loodeti, et selliseid aknaid ei ole.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Väärtus üksuse vormi %1 ei leitud rida <%2>. Praegune välja väärtus <%3>
В ИБ загружены объекты: %1 шт.	On ИБ laadida objektid: %1 tk
В каталоге <%1> должен был быть один файл xml.	Kataloogi <%1> pidi olema üks xml-faili.
В меню нет значения <%1>	Menüü ei ole väärtused <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Metaandmete %1 ei leitud rekvisiidid-võti <%2>. Viga paigutuse andmed
В параметрах JSON не найден каталог Фич.	Seadetes on JSON ei leitud kataloogi Фич.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Muutuja Kontekst ei avastatud varem salvestatud väärtus nimega <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Protseduuri <УстановитьРезультатУсловия> edastatud vale parameetri tüüp <%1>. Oodatud tüüp: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	In-set tabelis on kaks veergu sama pealkirja: %1
В списке нет значения <%1>	Loendis pole tähtis <%1>
В строке <%1> не найдена подстрока <%2>	Real <%1> ei leitud substr <%2>
В сценарии <%1> найден тег исключение <%2>	Stsenaarium <%1> leitud silt erand <%2>
В сценарии <%1> найден тег отбор <%2>	Stsenaarium <%1> leitud silt valik <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	Tabel <%1> EI leitud väärtus on %2, ja ta oleks pidanud olema.
В таблице <%1>  нет колонки <%2>	Tabel <%1> ei veerus <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Tabel <%1> rea nr%2 leitud väärtus %3, ja see ei oleks pidanud olema.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	Tabel <%1> leiti <%2> väärtusi. Ja oodata <%3>. Nimi kõlarid <%4>. Otsitav väärtus <%5>
В таблице <%1> не найдено ни одной строки	Tabel <%1> ei leitud ühtegi rida
В таблице <%1> не найдено ячейки с заголовком <%2>	Tabel <%1> ei leitud lahtri päis <%2>
