Строка поиска	Translation
%1 не найден;	%1 n'a pas été trouvé
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Ne sais pas gérer les accessoires <%2> de l'objet <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 dans la mise en page pas d'entrées dans le registre %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 impossible de créer un nouveau jeu d'enregistrements.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 impossible de créer un nouveau jeu d'enregistrements%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 impossible de créer un nouvel élément.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	N ° %1. Titre=<%2>. Nom=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient n'est PAS connecté.
TestClient подключен на %1 порту.	TestClient est connecté sur %1 port.
Web клиент не поддерживает запись действий пользователя.	Le client Web ne prend pas en charge l'enregistrement des actions de l'utilisateur.
Активирую окно с координатами: %1;%2	Active de dialogue avec les coordonnées: %1
Активная форма не найдена	La forme active est introuvable
Активное окно не найдено.	Fenêtre active n'est pas trouvé.
больше	plus
больше или равно	supérieure ou égale à
Были конфликты в именах снипетов.	Eu des conflits dans les noms de снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Il y avait des erreurs dans ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	A trouvé une fenêtre d'avertissement avec le texte suivant: <%1> A prévu que ces fenêtres ne sera pas.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	A trouvé une fenêtre d'avertissement. Et attendu que ces fenêtres ne sera pas.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	La valeur de l'élément de formulaire %1 n'est pas trouvée, la chaîne <%2>. La valeur du champ <%3>
В ИБ загружены объекты: %1 шт.	Dans IB chargés d'objets: %1 pièce
В каталоге <%1> должен был быть один файл xml.	Dans le répertoire <%1> doit être un fichier xml.
В меню нет значения <%1>	Le menu n'a pas de valeur <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Dans les métadonnées %1 n'a pas été trouvé accessoires-clé <%2>. Erreur dans la présentation des données
