Строка поиска	Translation
%1 не найден;	%1 nem találtam
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Nem tudja, hogyan kell kezelni a kellékek <%2> <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2. az elrendezés nem rögzíti a nyilvántartásban %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 nem, hozzon létre egy új recordset.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 nem, hozzon létre egy új recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 nem sikerült létrehozni egy új elemet.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Száma %1. Title=<%2>. Name=<%3>. Textpos = <%4>
TestClient НЕ подключен.	TestClient NINCS csatlakoztatva.
TestClient подключен на %1 порту.	TestClient csatlakozik %1 port.
Web клиент не поддерживает запись действий пользователя.	A webes ügyfél nem támogatja felvétel a felhasználói műveletek.
Активирую окно с координатами: %1;%2	Aktiválja ablak koordináták: %1
Активная форма не найдена	Az aktív formában nem találtam
Активное окно не найдено.	Az aktív ablak nem találtam.
больше	több
больше или равно	nagyobb vagy egyenlő
Были конфликты в именах снипетов.	Voltak konfliktusok, a nevek, a töredék.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Voltak hibák ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Megtalálták a riasztási ablakban a szöveg: <%1> volt várható, hogy ezek az Ablakok nem.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Megállapították, hogy a figyelmeztető ablak. Pedig várható volt, hogy ezek az Ablakok nem.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Az érték az űrlap elem %1 nem talált string <%2>. Az aktuális mező értéke <%3>
В ИБ загружены объекты: %1 шт.	Az IB objektumok betöltése: %1 EA.
В каталоге <%1> должен был быть один файл xml.	A könyvtár <%1> úgy volt, hogy egy-egy xml fájlt.
В меню нет значения <%1>	A menü nem érték <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	A metaadatok %1 nem található kellékek kulcs <%2>. Hiba az elrendezés adatok
В параметрах JSON не найден каталог Фич.	A beállítások JSON nem található könyvtár Szolgáltatásait.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	A változó Összefüggésben nem érzékel a korábban mentett érték a neve <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Az eljárás <Ustroitelstva> érvénytelen paraméter típusa <%1>. Várható típus: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	A kapott táblázatban van két oszlop azonos fejléc: %1.
В списке нет значения <%1>	A listában az értékek <%1>
В строке <%1> не найдена подстрока <%2>	A sorban <%1> nem találtam a substring <%2>
В сценарии <%1> найден тег исключение <%2>	A script <%1> tag talált kivétel <%2>
В сценарии <%1> найден тег отбор <%2>	A script <%1> találtam címke kiválasztása <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	A táblázat <%1> NEM talált érték, %2, kellett, hogy legyen.
В таблице <%1>  нет колонки <%2>	A táblázat <%1> nem oszlop <%2>
