Строка поиска	Translation
%1 не найден;	"%1 " non è stato trovato
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Non so gestire puntelli <%2> oggetto <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 nel layout non ci sono record per il registro %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 non è riuscito a creare un nuovo set di record.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 non è riuscito a creare un nuovo recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 non è riuscito a creare un nuovo elemento.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	N ° %1. Titolo=<%2>. Nome=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient NON è collegato.
TestClient подключен на %1 порту.	TestClient collegato a %1 porto.
Web клиент не поддерживает запись действий пользователя.	Web client non supporta la registrazione azioni utente.
Активирую окно с координатами: %1;%2	Attivo dialogo con le coordinate: %1
Активная форма не найдена	La forma attiva non trovato
Активное окно не найдено.	La finestra attiva non è stato trovato.
больше	più
больше или равно	maggiore o uguale a
Были конфликты в именах снипетов.	Sono stati conflitti nei nomi снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Ci sono stati errori nella ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	È stata trovata una finestra di avviso con il testo: <%1> E previsto che tali finestre non sarà.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	È stata trovata una finestra di avviso. E previsto che tali finestre non sarà.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Il valore di un elemento di forma %1 non è stata trovata la stringa <%2>. Il valore corrente del campo <%3>
В ИБ загружены объекты: %1 шт.	In IB caricati gli oggetti: %1 pz.
В каталоге <%1> должен был быть один файл xml.	Nella directory <%1> doveva essere un file xml.
В меню нет значения <%1>	Nel menu non ci sono valori <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Nei metadati %1 non è stato trovato oggetti di scena-chiave <%2>. Errore nel layout dei dati
В параметрах JSON не найден каталог Фич.	Nelle impostazioni di JSON non è stato trovato directory Fich.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	In una variabile di Contesto non viene rilevato in precedenza, il valore memorizzato con il nome di <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Nella procedura <УстановитьРезультатУсловия> passato non valido parametro di tipo <%1>. Atteso tipo: Booleano.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Nella tabella risultante ci sono due colonne con lo stesso titolo: %1
В списке нет значения <%1>	Nell'elenco non ci sono valori <%1>
В строке <%1> не найдена подстрока <%2>	Nella riga <%1> non trovato sottostringa <%2>
В сценарии <%1> найден тег исключение <%2>	In uno scenario di <%1> il tag eccezione <%2>
В сценарии <%1> найден тег отбор <%2>	In uno scenario di <%1> è stato trovato un tag di selezione <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	Nella tabella <%1> NON è stato trovato il valore %2, e doveva essere.
В таблице <%1>  нет колонки <%2>	Nella tabella <%1> no altoparlanti <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Nella tabella <%1> nella riga n%2 trovato il valore %3, e non doveva essere.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	Nella tabella <%1> trovato <%2> valori. Mentre aspettavamo <%3>. Il nome della colonna <%4>. Il valore di ricerca <%5>
В таблице <%1> не найдено ни одной строки	Nella tabella <%1> non ha trovato una sola riga
В таблице <%1> не найдено ячейки с заголовком <%2>	Nella tabella <%1> non trovato cella con il titolo <%2>
В таблице <%1> не найдены колонки: %2	Nella tabella <%1> non sono stati trovati colonna: %2
В таблице <%1> не получилось активизировать поле <%2>.	Nella tabella <%1> non ha funzionato attivare il campo <%2>.
В таблице <%1> нет строк для выбора.	Nella tabella <%1> - no righe per la scelta.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	Nella tabella <%1> si <%2> righe, e hanno ricevuto <%3> righe.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	Nella tabella <%1> aspetta di ottenere %2 %3 righe, e hanno ricevuto <%4> righe.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	Nella tabella <%1> aspetta di ottenere di più <%2> righe, e hanno ricevuto <%3> righe.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	Nella tabella <%1> aspetta di ottenere maggiore o uguale a <%2> righe, e hanno ricevuto <%3> righe.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	Nella tabella <%1> aspetta di ottenere meno <%2> righe, e hanno ricevuto <%3> righe.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	Nella tabella <%1> aspetta di ottenere minore o uguale <%2> righe, e hanno ricevuto <%3> righe.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	Nella tabella <%1> manca la colonna <%2>, указанная nei parametri.
В таблице <%1> поле с заголовком <%2> не найдено.	Nella tabella <%1> campo con il titolo <%2> non è stato trovato.
В таблице <%1> поле с именем <%2> не найдено.	Nella tabella <%1> campo con nome <%2> non è stato trovato.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	Nella tabella <%1> campo <%2> si aspettavano aprire il menu a tendina, ma non è arrivato.
В таблице не найдена колонка <%1>	Nella tabella non trovata colonna <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	Nella tabella dei parametri non è stato trasmesso un nome per il nuovo profilo. Colonna <Nome connessione>
В таблице подключений уже есть подключение с именем <%1>	Nella tabella delle connessioni già una connessione con il nome di <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	Nella tabella del documento %1 colonne e previsto %2 colonne.
В табличном документе %1 строк, а ожидалось %2 строк.	Nella tabella del documento %1 righe e previsto %2 righe.
В табличном документе %1 строк, а ожидалось, что он пустой.	Nella tabella del documento %1 righe, e ci si aspettava che è vuoto.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	Nella tabella del documento nella colonna <%1> valore non soddisfa la condizione di 'Valore nella colonna %2 %3'. Il valore corrente della colonna <%4>. Una serie di <%5> colonna <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Nella tabella del documento nella colonna <%1> valore atteso <%2>, e trovato <%3>. Una serie di <%4> colonna <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Nella tabella del documento nella colonna <%1> si aspettavano, che non sarà un valore <%2>, e trovato <%3>. Una serie di <%4> colonna <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	Nella tabella del documento nella colonna numero %1 valore= <%2> , previsto <%3>
В табличном документе колонка <%1> не найдена.	Nella tabella del documento colonna <%1> non trovato.
В файле <%1> нашли строки, а ожидали, что их нет:%2	Nel file <%1> trovato le righe, e si aspettavano che il loro no:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	Nel file <%1> non trovato riga, mentre aspettavamo che ci sono:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	In fiche <%1> script <%2> il tag eccezione <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	In fiche <%1> script <%2> è stato trovato un tag di selezione <%3>
