Строка поиска	Translation
%1 не найден;	%1 nerasta
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Nėra gerai dirbti rekvizitai <%2> pas objektas <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 išdėstymą nėra įrašų raidžių %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 negalite kurti naujų įrašų.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 nepavyko sukurti naują įrašų%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 nepavyko sukurti naują elementą.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Nr.%1. Antraštė=<%2>. Pavadinimas= " <%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient NĖRA prijungtas.
TestClient подключен на %1 порту.	TestClient prijungtas %1 uoste.
Web клиент не поддерживает запись действий пользователя.	Web klientas nepalaiko įrašymo vartotojo veiksmų.
Активирую окно с координатами: %1;%2	Активирую langas su koordinačių: %1
Активная форма не найдена	Aktyvi forma nerasta
Активное окно не найдено.	Aktyvų langą nerasta.
больше	daugiau
больше или равно	daugiau arba lygu
Были конфликты в именах снипетов.	Buvo konfliktai pavadinimuose снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Buvo klaidų ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Buvo rasta langą įspėjimai su tekstu: <%1> O tikėtasi, kad tokių langų nebus.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Buvo rasta langą įspėjimo. O tikėtasi, kad tokių langų nebus.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Į elemento vertė formos, %1 nerastas eilutė <%2>. Dabartinė vertė lauko <%3>
В ИБ загружены объекты: %1 шт.	Į ИБ įkelti objektai yra " %1 vienetas
В каталоге <%1> должен был быть один файл xml.	Katalogas <%1> turėjo būti vienas xml failą.
В меню нет значения <%1>	Meniu nėra reikšmės <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Metaduomenys %1 nerastas butaforija-raktas <%2>. Klaida išdėstymo duomenų
В параметрах JSON не найден каталог Фич.	Galioja JSON nerastas katalogas Фич.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Kintamasis Kontekste nerasta anksčiau išsaugotą reikšmę pavadinimu <%1>
