Строка поиска	Translation
%1 не найден;	%1 nav atrasta
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 nemāku rīkoties aksesuāri <%2> pie objekta <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 izkārtojumā nav ierakstu reģistra %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 nav izdevies izveidot jaunu ierakstu kopu.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 nav izdevies izveidot jaunu ierakstu kopu%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 nav izdevies izveidot jaunu vienumu.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	№%1. Virsraksts=<%2>. Nosaukums=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient NAV pievienots.
TestClient подключен на %1 порту.	TestClient pievienots uz %1 ostā.
Web клиент не поддерживает запись действий пользователя.	Web klients neatbalsta ierakstīšanu lietotāja darbībām.
Активирую окно с координатами: %1;%2	Aktivizēts logs ar koordinātām: %1
Активная форма не найдена	Aktīvā forma nav atrasta
Активное окно не найдено.	Aktīvais logs nav atrasts.
больше	vairāk
больше или равно	vairāk vai vienāds ar
Были конфликты в именах снипетов.	Bija konflikti nosaukumos снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Bija kļūdas ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Tika konstatēts, brīdinājuma logs ar tekstu: <%1> Un paredzams, ka šādu logu nebūs.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Tika konstatēts, brīdinājuma logs. Kā arī tika gaidīts, ka šādu logu nebūs.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Vērtība elementa formas %1 nav atrasta virkne <%2>. Pašreizējā vērtība laukā <%3>
В ИБ загружены объекты: %1 шт.	Uz IB lejupielādēt objekti: %1 gab.
В каталоге <%1> должен был быть один файл xml.	Katalogā <%1> bija viens xml fails.
В меню нет значения <%1>	Izvēlnē nav vērtības <par 1%>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Metadatu %1 nav atrasta aksesuārus-atslēga <%2>. Kļūda izkārtojumā datu
В параметрах JSON не найден каталог Фич.	Parametros JSON nav atrasts katalogs Pazīmes.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Mainīgais Konteksts nav konstatēts iepriekš saglabāto vērtību ar nosaukumu <par 1%>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Uz procedūru <УстановитьРезультатУсловия> nodots nepareizs parametrs tips <%1>. Sagaidāmais tips: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Uz iegūto tabulā ir divas kolonnas ar vienādu kolonnas virsrakstu: %1
В списке нет значения <%1>	Sarakstā nav vērtības <par 1%>
В строке <%1> не найдена подстрока <%2>	Rindā <%1> netika atrasta substr <%2>
В сценарии <%1> найден тег исключение <%2>	Scenārijs <%1> atrasts tag izņēmums <%2>
В сценарии <%1> найден тег отбор <%2>	Scenārijs <%1> atrasts tag atlase <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	Tabulā <%1> NAV atrasts vērtība %2, kā tas būtu bijis.
В таблице <%1>  нет колонки <%2>	Tabulā <%1> nē skaļruņi <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Tabulā <%1> joslā №%2 atrasts vērtība %3, bet tā nedrīkst būt.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	Tabulā <%1> atrast <%2> vērtības. Kā gaidīts <%3>. Kolonnas nosaukuma <%4>. Meklējamā vērtība <%5>
В таблице <%1> не найдено ни одной строки	Tabulā <%1> netika atrasta neviena rindas
В таблице <%1> не найдено ячейки с заголовком <%2>	Tabulā <%1> nav atrasts šūnas ar nosaukumu <%2>
В таблице <%1> не найдены колонки: %2	Tabulā <%1> netika atrasta skaļruņi: %2
В таблице <%1> не получилось активизировать поле <%2>.	Tabulā <%1> nav izdevies aktivizēt laukā <%2>.
В таблице <%1> нет строк для выбора.	Tabulā <%1> nav rindu, lai izvēlētos.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	Tabulā <%1> gaidīt, lai saņemtu <%2> rindas, un saņēmuši <%3> rindas.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	Tabulā <%1> bija paredzēts, lai iegūtu %2 %3 rindu, un ir ieguvuši <%4> rindas.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	Tabulā <%1> gaidīt, lai saņemtu vairāk <%2> rindas, un saņēmuši <%3> rindas.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	Tabulā <%1> gaidīt, lai saņemtu vairāk vai vienāds ar <%2> rindas, un saņēmuši <%3> rindas.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	Tabulā <%1> gaidīt, lai saņemtu mazāk nekā <%2> rindas, un saņēmuši <%3> rindas.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	Tabulā <%1> gaidīt, lai saņemtu mazāks vai vienāds ar <%2> rindas, un saņēmuši <%3> rindas.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	Tabulā <%1> nav kolonna <%2>, указанная parametros.
В таблице <%1> поле с заголовком <%2> не найдено.	Tabulā <%1> lauks ar nosaukumu <%2> nav atrasts.
В таблице <%1> поле с именем <%2> не найдено.	Tabulā <%1> lauks <%2> nav atrasts.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	Tabulā <%1> laukā <%2> gaidīts atvēršanas nolaižamā saraksta, bet nav jāgaida.
В таблице не найдена колонка <%1>	Tabulā nav atrodama aile <par 1%>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	Tabulā parametriem tika pārcelta vārds jaunu profilu. Kolonna <savienojuma Nosaukums>
В таблице подключений уже есть подключение с именем <%1>	Tabulā savienojumu jau ir savienojums ar nosaukumu <par 1%>
В табличном документе %1 колонок, а ожидалось %2 колонок.	Tabulā dokumentā %1 skaļruņi, kā gaidīts %2 skaļruņiem.
