Строка поиска	Translation
%1 не найден;	%1 олдсонгүй
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 мэдэхгүй бол хэрхэн зохицуулах тулгуур <%2> <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 зохион байгуулалт нь ямар ч бүртгэл, бүртгүүлэх %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 чадаагүй бий болгох шинэ recordset.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 чадаагүй бий болгох шинэ recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 чадаагүй бий болгох шинэ элемент.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Тоо %1. Title=<%2>. Name=<%3>. Textpos = <%4>
TestClient НЕ подключен.	TestClient холбогдсон байна.
TestClient подключен на %1 порту.	TestClient холбогдсон %1 порт.
Web клиент не поддерживает запись действий пользователя.	Вэб үйлчлүүлэгч дэмждэггүй бичлэг нь хэрэглэгчийн үйлдэл.
Активирую окно с координатами: %1;%2	Идэвхжүүлэх цонх солбицол: %1
Активная форма не найдена	Идэвхтэй хэлбэр нь not found
Активное окно не найдено.	Идэвхтэй цонхны олж чадаагүй байна.
больше	дэлгэрэнгүй
больше или равно	илүү эсвэл тэнцүү
Были конфликты в именах снипетов.	Тэнд байсан зөрчил нэрийг хайчилбаруудыг.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Тэнд байсан алдаа ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Олдсон бөгөөд дохио авах байрлуулах цонх нь текст: <%1> хүлээгдэж байсан эдгээр Цонх байх болно.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Энэ нь олдсон анхааруулах цонх. Мөн энэ нь хүлээгдэж байсан эдгээр Цонх байх болно.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Утга, хэлбэр элемент %1 мөр олж чадаагүй <%2>. Өнөөгийн үнэ цэнэ хээрийн <%3>
В ИБ загружены объекты: %1 шт.	Д IB объект дуудагддаг: %1 байгаль орчны үнэлгээг хийлгэх.
В каталоге <%1> должен был быть один файл xml.	Санд <%1> байх естой байсан нэг xml файл.
В меню нет значения <%1>	Энэ цэс нь ямар ч утга нь <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Мета өгөгдлийг %1 олдоогүй тулгуур түлхүүр <%2>. Алдаа зохион байгуулалтын мэдээлэл
В параметрах JSON не найден каталог Фич.	Options JSON олж чадаагүй сан Онцлог.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Д хувьсагч Хүрээнд илэрсэн байгаа бол урьд нь хадгалагдсан утга бүхий нэр нь <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Журамд <Ustroitelstva> хүчингүй параметр төрөл <%1>. Хүлээгдэж буй төрөл: Булийн.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Үр дүнд нь хүснэгт байдаг хоер багана нь нэг толгой: %1.
В списке нет значения <%1>	Жагсаалтад утга нь <%1>
В строке <%1> не найдена подстрока <%2>	Шугам <%1> олж чадаагүй substring <%2>
В сценарии <%1> найден тег исключение <%2>	Уг скрипт нь <%1> tag олж эс тооцвол <%2>
В сценарии <%1> найден тег отбор <%2>	Уг скрипт нь <%1> олсон tag зүйлс <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	Хүснэгт <%1> олж ЧАДААГҮЙ үнэ цэнэ, %2, мөн энэ нь байсан байх.
В таблице <%1>  нет колонки <%2>	Хүснэгт <%1> ямар ч багана <%2>
