Строка поиска	Translation
%1 не найден;	%1 nie znaleziono
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Nie umiem obsługiwać rekwizyty <%2> obiekt <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 w układzie nie ma żadnych wpisów do rejestru %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 nie udało się utworzyć nowy zestaw rekordów.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 nie udało się utworzyć nowy zestaw rekordów%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 nie udało się utworzyć nowy element.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Nr%1. Tytuł=<%2>. Nazwa=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient NIE jest podłączony.
TestClient подключен на %1 порту.	TestClient jest podłączony na %1 portu.
Web клиент не поддерживает запись действий пользователя.	Web klient nie obsługuje nagrywania działań użytkownika.
Активирую окно с координатами: %1;%2	Aktywuję okno z współrzędnymi: %1
Активная форма не найдена	Aktywny formularz nie znaleziono
Активное окно не найдено.	Aktywne okno nie znaleziono.
больше	więcej
больше или равно	większa lub równa
Были конфликты в именах снипетов.	Były konflikty w nazwach снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Były błędy w ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Znajdował się okno ostrzeżenia z tekstem: <%1> A oczekiwano, że takich okien nie będzie.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Znajdował się okno ostrzeżenia. A spodziewano się, że takich okien nie będzie.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Wartość elementu formularza %1 nie znaleziono wiersz <%2>. Bieżąca wartość pola <%3>
В ИБ загружены объекты: %1 шт.	W IB pobrane obiekty: %1 szt.
В каталоге <%1> должен был быть один файл xml.	W katalogu <%1> miał być jeden plik xml.
В меню нет значения <%1>	W menu nie ma znaczenia <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	W metadanych %1 nie znaleziono rekwizyty-klucz <%2>. Błąd w układzie danych
В параметрах JSON не найден каталог Фич.	W ustawieniach JSON nie znaleziono katalogu Fitch.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	W zmiennej Kontekst nie wykryto wcześniej zapisaną wartość o nazwie <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	W procedurę <УстановитьРезультатУсловия> przekazany nieprawidłowy rodzaj opcji <%1>. Oczekiwany typ: Булево.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	W wyniku tabeli istnieją dwie kolumny z tym samym nagłówkiem: %1
В списке нет значения <%1>	W liście nie ma znaczenia <%1>
