Строка поиска	Translation
%1 не найден;	%1 nu a fost găsit
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Nu știu să se ocupe de recuzită <%2> la obiect <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 în structura nu există înregistrări pentru a registrului %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 nu a reușit să creeze un nou set de înregistrări.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 nu a reușit să creeze un nou set de înregistrări%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 nu s-a putut crea un element nou.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Nr%1. Titlul=<%2>. Numele de=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient NU este conectat.
TestClient подключен на %1 порту.	TestClient este conectat la %1 port.
Web клиент не поддерживает запись действий пользователя.	Web clientul nu acceptă înregistrarea acțiunilor utilizatorului.
Активирую окно с координатами: %1;%2	Activez fereastra de coordonate: %1
Активная форма не найдена	Forma activă nu a fost găsit
Активное окно не найдено.	Fereastra activă nu a fost găsit.
больше	mai mult
больше или равно	mai mare sau egal cu
Были конфликты в именах снипетов.	Au fost conflicte în numele снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Au fost greșeli în ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	S-a găsit o fereastră de avertizare cu textul: <%1> Și era de așteptat ca astfel de ferestre nu va fi.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	A fost găsit de dialog de avertizare. Și era de așteptat ca astfel de ferestre nu va fi.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	În valoare de element de formular %1 nu a fost găsit linia <%2>. Valoarea curentă a câmpului <%3>
В ИБ загружены объекты: %1 шт.	În IB încărcate de obiecte: %1 bucată
В каталоге <%1> должен был быть один файл xml.	În directorul <%1> a trebuit să fie un fișier xml.
В меню нет значения <%1>	În meniu nici o valoare <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	În metadate %1 nu a fost găsit elemente de recuzită-cheie <%2>. Eroare în structura de date
В параметрах JSON не найден каталог Фич.	În setările JSON nu a fost găsit catalog de Caracteristici.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	În variabila Contextul în care nu s-a detectat anterior, valoarea stocată cu numele <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	În procedura de <УстановитьРезультатУсловия> transmis tip incorect de parametri <%1>. Așteptat de tip: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	În rezultantă tabel există două coloane cu același titlu: %1
В списке нет значения <%1>	În lista de valori <%1>
В строке <%1> не найдена подстрока <%2>	În bara de <%1> nu a fost găsit substr <%2>
В сценарии <%1> найден тег исключение <%2>	În scenariul <%1> găsit o etichetă de excepție <%2>
В сценарии <%1> найден тег отбор <%2>	În scenariul <%1> găsit o etichetă de selecție <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	În tabelul <%1> NU s-a găsit valoarea de 2%, iar aceasta trebuie să fi fost.
В таблице <%1>  нет колонки <%2>	În tabelul <%1> nu coloana <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	În tabelul <%1> la linia nr%2-a găsit valoarea de 3%, dar nu a fost să fie.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	În tabelul <%1> s-au găsit <%2> valori. Iar așteptat <%3>. Numele de coloane <%4>. Valoare țintă <%5>
В таблице <%1> не найдено ни одной строки	În tabelul <%1> nu s-a găsit nici o singură linie
В таблице <%1> не найдено ячейки с заголовком <%2>	În tabelul <%1> nu a fost găsit de celule cu titlul <%2>
В таблице <%1> не найдены колонки: %2	În tabelul <%1> nu a fost găsit coloane: %2
В таблице <%1> не получилось активизировать поле <%2>.	În tabelul <%1> nu s-activați câmpul <%2>.
В таблице <%1> нет строк для выбора.	În tabelul <%1> nici o siruri de caractere pentru a alege.
