Строка поиска	Translation
%1 не найден;	%1 ni mogoče najti
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Ne vedo, kako ravnati z rekviziti <%2> <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 v postavitev nobenih zapisov za registracijo %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 ni uspelo ustvariti novo recordset.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 ni uspelo ustvariti novo recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 uspelo ustvariti nov element.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Število %1. Naslov=<%2>. Ime=<%3>. Textpos = <%4>
TestClient НЕ подключен.	TestClient NI priključen.
TestClient подключен на %1 порту.	TestClient povezan %1 vrata.
Web клиент не поддерживает запись действий пользователя.	Spletni odjemalec ne podpira snemanje uporabniških dejanj.
Активирую окно с координатами: %1;%2	Aktiviranje okna koordinate: %1
Активная форма не найдена	Aktivni obliki ni bilo mogoče najti
Активное окно не найдено.	Dejavno okno se ni bilo mogoče najti.
больше	več
больше или равно	večja ali enaka
Были конфликты в именах снипетов.	Tam so bili konflikti v imenih delčke.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Tam so bile napake v ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Bil najden v oknu z opozorilom z besedilom: <%1> bilo pričakovati, da se ti operacijski sistem Windows ne bo.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Ugotovljeno je bilo, opozorilno okno. In pričakovati je bilo, da teh Windows ne bo.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Vrednost elementa obrazca %1 ne najdemo niz <%2>. Sedanja vrednost polja <%3>
В ИБ загружены объекты: %1 шт.	V IB predmetov naložiti: %1 EA.
В каталоге <%1> должен был быть один файл xml.	V imeniku <%1> naj bi bilo eno xml datoteko.
В меню нет значения <%1>	Meni nima vrednosti <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	V metapodatke %1 ni bilo najdeno rekviziti tipko <%2>. Napaka v postavitvi podatkov
В параметрах JSON не найден каталог Фич.	V možnosti JSON ne najdemo imenik Funkcije.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	V spremenljivih Okviru ni mogoče zaznati že shranjena vrednost z imenom <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	V postopku <Ustroitelstva> neveljavna parameter tipa <%1>. Pričakovana vrsta: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Posledično tabela obstajata dva stolpca z istim glave: %1.
В списке нет значения <%1>	Na seznamu vrednosti <%1>
В строке <%1> не найдена подстрока <%2>	V vrstici <%1> ni bilo mogoče najti podniz <%2>
В сценарии <%1> найден тег исключение <%2>	V skript <%1> tag ugotovil, razen <%2>
В сценарии <%1> найден тег отбор <%2>	V skript <%1> našel oznako izbor <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	V tabeli <%1> NI mogoče najti vrednosti, v %2, in to je bilo treba.
В таблице <%1>  нет колонки <%2>	V tabeli <%1> ni stolpec <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	V tabeli <%1> vrstici število%2 ugotovljena vrednost %3, a to ni bilo mogoče.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	V tabeli <%1> je bila najdena <%2> vrednosti. Kot pričakovano <%3>. Ime stolpca <%4>. Vrednost <%5>
В таблице <%1> не найдено ни одной строки	V tabeli <%1> ni našel nobene vrstice
В таблице <%1> не найдено ячейки с заголовком <%2>	V tabeli <%1> ni bilo mogoče najti celico z glavo <%2>
В таблице <%1> не найдены колонки: %2	V tabeli <%1> ni mogoče najti stolpec: %2
В таблице <%1> не получилось активизировать поле <%2>.	V tabeli <%1> ne more aktivirati polje <%2>.
В таблице <%1> нет строк для выбора.	V tabeli <%1> ni vrsticah in izberite.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	V tabeli <%1> je bilo pričakovati <%2> linij, ampak dobil <%3> vrstic.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	V tabeli <%1> je bilo pričakovati, da %2% 3 vrstic, vendar imam <%4> linije.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	V tabeli <%1> je bilo pričakovati, da bi dobili več <%2> linij, ampak dobil <%3> vrstic.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	V tabeli <%1> je bilo pričakovati, da je večja ali enaka <%2> linij, ampak dobil <%3> vrstic.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	V tabeli <%1> je bilo pričakovati, da bi dobili manj kot <%2> linij, ampak dobil <%3> vrstic.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	V tabeli <%1> je bilo pričakovati, da pridobi manj kot ali enako <%2> linij, ampak dobil <%3> vrstic.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	V tabeli <%1> manjka stolpec <%2>, Yasna v parametre.
В таблице <%1> поле с заголовком <%2> не найдено.	V tabeli <%1> polje naslov <%2> ni bilo mogoče najti.
В таблице <%1> поле с именем <%2> не найдено.	V tabeli <%1> ime polja <%2> ni bilo mogoče najti.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	V tabeli <%1> polje <%2> pričakujejo, da se odpre spustni seznam, vendar ne čakati.
В таблице не найдена колонка <%1>	Ne najdete v tabeli stolpec <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	Tabela nastavitve niso bili preneseni v novo ime profila. Stolpec <Ime povezave>
В таблице подключений уже есть подключение с именем <%1>	V povezavi tabela že ima povezavo z imenom <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	V tabeli dokument '%1 ' stolpcev, pričakuje %2 stolpce.
В табличном документе %1 строк, а ожидалось %2 строк.	V tabeli dokument %1 vrstic, vendar pričakuje %2 vrstic.
В табличном документе %1 строк, а ожидалось, что он пустой.	V tabeli dokument %1 vrstic, in pričakovati je bilo, da je prazna.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	V tabeli dokument v stolpcu <%1> vrednost ne ustreza pogojem "Vrednost v stolpcu %2% 3'. Trenutno vrednost stolpec <%4>. Številne <%5>, stolpec <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	V tabeli dokument v stolpcu <%1> je bilo pričakovati <%2>, najdete <%3>. Številne <%4>, stolpec <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	V tabeli dokument v stolpcu <%1> je bilo pričakovano, da bo vrednost <%2>, najdete <%3>. Številne <%4>, stolpec <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	V tabeli dokument v stolpcu število %1 vrednost= <%2> , pričakuje <%3>
В табличном документе колонка <%1> не найдена.	Dokument v tabeli (stolpec <%1> ni bilo mogoče najti.
В файле <%1> нашли строки, а ожидали, что их нет:%2	V datoteki <%1> najti vrstice, in pričakuje, da ne obstajajo:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	V datoteki <%1> ni mogoče najti vrstice, in pričakuje, kaj so dobili:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	V funkcijo <%1> skripta <%2> tag ugotovil, razen <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	V funkcijo <%1> skripta <%2> našel oznako izbor <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	Da bi mimo kumare za vlaganje tabela, v kateri 2 ali več vrstic.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	V referenčni tabeli obstajata dva stolpca z istim glave: %1.
ВерсияVA	ВерсияVA
ВерсияПлатформы	Wereperformed
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Obrnite zastavo <Enable debug sporočila> za prikaz ukazov, ki se izvajajo.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Notranje napake. Nepopolne polnjenje metapodatkov drevo. Ni predmet, ki tvorijo vrsto - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Notranje napake. Nepopolnih konstrukcij referenčne vrste - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	Je vgnezdeno skript <%1> bil premeščen v <%2> tabelah, in to traja le <%3> tabel.
Возможно это обработка для обычных форм, а не для управляемых форм.	Morda je to zdravljenje običajno oblike, ne za upravljane oblike.
Возможно это обработка для управляемых форм, а не для обычных форм.	Morda je zdravljenje uspelo oblike in ne konvencionalnih oblik.
Все проверки пройдены.	Vse preglede opravili.
Вызов метода <%1>: %2	Klic metode <%1>: %2
Выпадающий список <%1> не был сформирован.	Spustnega seznama <%1> ni bila oblikovana.
Выпадающий список <%1> не открылся для ввода текста.	Spustnega seznama <%1> ni bil odprt za vnos besedila.
Выпадающий список <%1>. Ожидали, что в нём будет текст %2, а получили %3.	Spustnega seznama <%1>. Pričakujejo, da bo besedilo %2, dobili %3.
Выпадающий список с заголовком <%1> не найден.	Spustni seznam z naslova <%1> ni bilo mogoče najti.
Выпадающий список с именем <%1> не найден.	Spustni seznam z imenom <%1> ni bilo mogoče najti.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ.	Izvajanje skripta je končal. TAM SO BILE NAPAKE.
Выполнение сценариев закончено. Ошибок не было.	Izvajanje skripta je končal. Nobenih napak.
Выполняю	Izvedite
Выражение <%1> оказалось равно <%2>, а ожидали <%3>.	Izraz <%1> je enaka <%2>, pričakuje <%3>.
Генератор макета из реальных данных: Не умею обрабатывать такой тип <%1>	Generator postavitev prave podatke: Ne vedo, kako ravnati ta vrsta <%1>
ГолосовойДвижок - OK	Groovadelia - OK
Группа с заголовком <%1> не найдена.	Skupina z naslova <%1> ni bilo mogoče najti.
Группа с именем <%1> не найдена.	Skupina z imenom <%1> ni bilo mogoče najti.
Данные по основному подключению Клиента тестирования перезаполнены.	Podatki za glavne povezave Testclient peripapillary.
Данный шаг не работает с таблицами.	Ta korak ne delo s tabelami.
ДатаВремяОшибки	Datarelease
Делаю общий скриншот.	Make je Splošno sliki.
Делаю перезапуск TESTCLIENT. ОписаниеОшибки=%1	Delaš znova TESTCLIENT. Opisaniyami=%1
Делаю распаковку %1	Razpakiranje %1
