Строка поиска	Translation
%1 не найден;	%1 hittades inte
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Inte vet hur de ska hantera den rekvisita <%2> <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 i layouten finns några uppgifter för registret %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 misslyckades med att skapa ett nytt rekord.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 misslyckats med att skapa en ny recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 misslyckades med att skapa ett nytt element.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	Antal %1. Titel=<%2>. Namn=<%3>. Textpos = <%4>
TestClient НЕ подключен.	TestClient är INTE ansluten.
TestClient подключен на %1 порту.	TestClient ansluten till %1 port.
Web клиент не поддерживает запись действий пользователя.	Web-klienten inte stöder inspelning av användarens åtgärder.
Активирую окно с координатами: %1;%2	Aktivera fönstret koordinater: %1
Активная форма не найдена	Den aktiva formen finns inte
Активное окно не найдено.	Det aktiva fönstret inte hittas.
больше	mer
больше или равно	större än eller lika med
Были конфликты в именах снипетов.	Det har varit konflikter i namn av utdrag.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Det fanns fel i ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Var hittade alert fönster med texten: <%1> förväntades att dessa Fönster kommer inte.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Det var hittade varning fönster. Och det var väntat att dessa Fönster kommer inte.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	I värdet av formelement %1 inte hittade strängen <%2>. Det aktuella värdet i fältet <%3>
В ИБ загружены объекты: %1 шт.	I IB objekt som laddas: %1 EA.
В каталоге <%1> должен был быть один файл xml.	I katalogen <%1> som var tänkt att vara en gemensam xml-fil.
В меню нет значения <%1>	Menyn har inget värde <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	I metadata på %1 hittades inte rekvisita tangenten <%2>. Fel i layout data
В параметрах JSON не найден каталог Фич.	I alternativ JSON inte finns katalogen Funktioner.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	I varierande Sammanhang är inte upptäcks tidigare sparade värde med namnet <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	I förfarandet <Ustroitelstva> ogiltig parameter typ <%1>. Förväntad typ: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Den resulterande tabellen att det finns två kolumner med samma rubrik: %1.
В списке нет значения <%1>	I listan med värden <%1>
В строке <%1> не найдена подстрока <%2>	I linje <%1> hittades inte delsträng <%2>
В сценарии <%1> найден тег исключение <%2>	I skriptet <%1> - taggen finns undantag <%2>
В сценарии <%1> найден тег отбор <%2>	I skriptet <%1> hittade tag utbud <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	I tabell <%1> hittades INTE värde, %2, och fick det bli.
В таблице <%1>  нет колонки <%2>	I tabell <%1> - nr kolumnen <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	I tabell <%1> på rad antal%2 värde fann %3, men det var det inte.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	I tabell <%1> konstaterades <%2> - värden. Som väntat <%3>. Namnet på kolumnen <%4>. Värdet <%5>
В таблице <%1> не найдено ни одной строки	I tabell <%1> inte funnit några rader
В таблице <%1> не найдено ячейки с заголовком <%2>	I tabell <%1> hittades inte cellen med huvudet på <%2>
В таблице <%1> не найдены колонки: %2	I tabell <%1> inte finns kolumn: %2
В таблице <%1> не получилось активизировать поле <%2>.	I tabell <%1> det gick inte att aktivera fältet <%2>.
В таблице <%1> нет строк для выбора.	I tabell <%1> har inga rader för att välja.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	I tabell <%1> förväntades <%2> linjer, men fick <%3> rader.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	I tabell <%1> förväntades %2% 3 rader, men fick <%4> linjer.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	I tabell <%1> förväntas få mer <%2> linjer, men fick <%3> rader.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	I tabell <%1> förväntades större än eller lika med <%2> linjer, men fick <%3> rader.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	I tabell <%1> förväntas få mindre än <%2> linjer, men fick <%3> rader.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	I tabell <%1> förväntas få mindre än eller lika med <%2> linjer, men fick <%3> rader.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	I tabell <%1> saknas kolumn <%2>, Månsbo i parametrarna.
В таблице <%1> поле с заголовком <%2> не найдено.	I tabell <%1> - fältet titel <%2> hittades inte.
В таблице <%1> поле с именем <%2> не найдено.	I tabell <%1> - fältet namn <%2> hittades inte.
