Строка поиска	Translation
%1 не найден;	%1 bulunamadı
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 bilmem işlemek sahne <%2> nesne <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 düzeninde kayıt yok, büyük / küçük harf %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 oluşturulamadı yeni bir kayıt kümesi.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 oluşturulamadı yeni bir recordset%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 başarısız oldu, yeni bir öğe oluşturun.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	No%1. Başlık=<%2>. Ad=<%3>. ТекстПоля = <%4>
TestClient НЕ подключен.	TestClient bağlı DEĞİL.
TestClient подключен на %1 порту.	TestClient bağlı %1 bağlantı noktasına takın.
Web клиент не поддерживает запись действий пользователя.	Web istemci destekler kayıt kullanıcı etkinliği.
Активирую окно с координатами: %1;%2	Активирую pencere koordinatları: %1
Активная форма не найдена	Aktif form bulunamadı
Активное окно не найдено.	Etkin pencereyi bulunamadı.
больше	daha fazla
больше или равно	eşit veya daha büyük
Были конфликты в именах снипетов.	Çatışmalar olmuştur adlarında снипетов.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Olmuştur bir hata ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Bulundu uyarı penceresi metin: <%1> Ve beklenen ne gibi bir pencere olacaktır.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Bulundu uyarı penceresi. Ve beklendiği gibi bir pencere olacaktır.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Bu değeri bir form elemanı için %1 bulunamadı satırı <%2>. Mevcut alan değeri <%3>
В ИБ загружены объекты: %1 шт.	Bir IB yüklenen nesneler: %1 adet
В каталоге <%1> должен был быть один файл xml.	Dizin <%1> olmak zorunda bir xml dosyası.
В меню нет значения <%1>	Menü yok değerleri <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Meta %1 bulunamadı aksesuvar-anahtar <%2>. Hata düzeninde veri
В параметрах JSON не найден каталог Фич.	Ayarlarında JSON bulunamadı katalog Fitch.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Değişken Bağlam bulunamadı önceden kaydedilmiş değer adı <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Yordam <УстановитьРезультатУсловия> sevk türü yanlış parametre <%1>. Beklenen tür: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Ortaya çıkan tabloda iki sütun başlığı aynı: %1
В списке нет значения <%1>	Listede değerleri <%1>
В строке <%1> не найдена подстрока <%2>	Satırda <%1> bulunamadı substr <%2>
В сценарии <%1> найден тег исключение <%2>	Komut <%1> bulunamadı tag istisna <%2>
В сценарии <%1> найден тег отбор <%2>	Komut <%1> bulunamadı tag seçimi <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	Tablo <%1> bulunamadı değeri %2 olması gerekiyordu.
В таблице <%1>  нет колонки <%2>	Tablo <%1> sütun <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Tablo <%1> satır numarası%2 bulundu değeri %3 ve olmamalı.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	Tablo <%1> bulundu <%2> değerleri. Ve beklenen <%3>. Adı sütun <%4>. Arama değeri için <%5>
В таблице <%1> не найдено ни одной строки	Tablo <%1> bulundu ne de tek bir satır
В таблице <%1> не найдено ячейки с заголовком <%2>	Tablo <%1> bulunamadı hücre başlığı ile <%2>
В таблице <%1> не найдены колонки: %2	Tablo <%1> bulunamadı sütun: %2
В таблице <%1> не получилось активизировать поле <%2>.	Tablo <%1> olmadı yoğunlaştırmak golf <%2>.
В таблице <%1> нет строк для выбора.	Tablo <%1> hiçbir satır için akıllıca bir tercih.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	Tablo <%1> beklenen almak için <%2> satır var <%3> satır.
