Строка поиска	Translation
%1 не найден;	%1 không tìm thấy;
%1 Не умею обрабатывать реквизит <%2> у объекта <%3>	%1 Tôi không biết xử lý mục tin <%2> của đối tượng <%3>
%1.%2 в макете нет записей для регистра %3	%1.%2 trong khuôn in không có bản ghi đối với biểu ghi %3
%1.%2 не удалось создать новый набор записей.%3	%1.%2 không thể tạo mới tập hợp bản ghi.%3
%1.%2 не удалось создать новый набор записей%3	%1.%2 không thể tạo mới tập hợp bản ghi%3
%1.%2 не удалось создать новый элемент.%3	%1.%2 không thể tạo mới phần tử.%3
№%1. Заголовок=<%2>. Имя=<%3>. ТекстПоля = <%4>	№% 1. Title=<% 2>. Name=<% 3>. FieldText =<% 4>
TestClient НЕ подключен.	TestClient KHÔNG được kết nối.
TestClient подключен на %1 порту.	TestClient đã kết nối tại %1 cổng.
Web клиент не поддерживает запись действий пользователя.	Web Client không hỗ trợ ghi lại thao tác người sử dụng.
Активирую окно с координатами: %1;%2	Kích hoạt cửa sổ tọa độ: %1;%2
Активная форма не найдена	Không tìm thấy biểu mẫu đang sử dụng
Активное окно не найдено.	Không tìm thấy cửa sổ đang sử dụng.
больше	lớn hơn
больше или равно	lớn hơn hoặc bằng
Были конфликты в именах снипетов.	Có xung đột trong tên gọi của đoạn văn bản.
Были ошибки в ПросканироватьИсходникиИНайтиВсеStepDefinition.	Có lỗi trong ПросканироватьИсходникиИНайтиВсеstepdefinition.
Было найдено окно предупреждения с текстом: <%1> А ожидалось, что таких окон не будет.	Đã tìm thấy cửa sổ cảnh báo với nội dung: <%1> Dự kiến rằng, sẽ không xuất hiện những cửa sổ như vậy.
Было найдено окно предупреждения. А ожидалось, что таких окон не будет.	Đã tìm thấy cửa sổ cảnh báo. Dự kiến rằng, sẽ không xuất hiện những cửa sổ như vậy.
В значение элемента формы %1 не найдена строка <%2>. Текущее значение поля <%3>	Trong giá trị phần tử của biểu mẫu %1 không tìm thấy xâu ký tự <%2>. Giá trị hiện tại của trường <%3>
В ИБ загружены объекты: %1 шт.	Trong CSTT đã kết nhập %1 đối tượng.
В каталоге <%1> должен был быть один файл xml.	Trong thư mục <%1> cần có một tệp xml.
В меню нет значения <%1>	Trong menu không có giá trị <%1>
В метаданных %1 не найден реквизит-ключ <%2>. Ошибка в макете данных	Trong metadata %1 không tìm thấy mục tin chính <%2>. Lỗi trong khuôn in dữ liệu
В параметрах JSON не найден каталог Фич.	Trong tham số JSON không tìm thấy thư mục Feature.
В переменной Контекст не обнаружено ранее сохраненное значение с именем <%1>	Trong biến Ngữ cảnh không tìm thấy giá trị đã lưu từ trước có tên gọi <%1>
В процедуру <УстановитьРезультатУсловия> передан неверный тип параметра <%1>. Ожидаемый тип: Булево.	Trong thủ tục <УстановитьРезультатУсловия> đã chuyển sang kiểu tham số không chính xác <%1>. Kiểu mong muốn: Boolean.
В результирующей таблице существуют две колонки с одинаковым заголовком: %1	Trong bảng kết quả có hai cột với tiêu đề giống nhau: %1.
В списке нет значения <%1>	Trong danh sách không có giá trị <%1>
В строке <%1> не найдена подстрока <%2>	Trong dòng <%1> không tìm thấy xâu ký tự <%2>
В сценарии <%1> найден тег исключение <%2>	Trong kịch bản <%1> đã tìm thấy nhãn loại trừ <%2>
В сценарии <%1> найден тег отбор <%2>	Trong kịch bản <%1> đã tìm thấy nhãn lọc <%2>
В таблице <%1>  НЕ найдено значение %2, а оно должно было быть.	Trong bảng <%1> KHÔNG tìm thấy giá trị %2 cần có.
В таблице <%1>  нет колонки <%2>	Trong bảng <%1> không có cột <%2>
В таблице <%1> в строке №%2 найдено значение %3, а его не должно было быть.	Trong bảng <%1> tại dòng số%2 đã tìm thấy giá trị %3 không nên có.
В таблице <%1> найдено <%2> значений. А ожидали <%3>. Имя колонки <%4>. Искомое значение <%5>	Trong bảng <%1> đã tìm thấy <%2> giá trị. Giá trị mong muốn <%3>. Tên cột <%4>. Giá trị cần tìm <%5>
В таблице <%1> не найдено ни одной строки	Trong bảng <%1> không tìm thấy dòng nào
В таблице <%1> не найдено ячейки с заголовком <%2>	Trong bảng <%1> không tìm thấy ô với tiêu đề <%2>
В таблице <%1> не найдены колонки: %2	Trong bảng <%1> không tìm thấy cột: %2
В таблице <%1> не получилось активизировать поле <%2>.	Trong bảng <%1> không thể kích hoạt trường <%2>.
В таблице <%1> нет строк для выбора.	Trong bảng <%1> không có dòng để chọn.
В таблице <%1> ожидали получить <%2> строк, а получили <%3> строк.	Trong bảng <%1> dự kiến nhận <%2> dòng, nhưng đã nhân <%3> dòng.
В таблице <%1> ожидали получить %2 %3 строк, а получили <%4> строк.	Trong bảng <%1> dự kiến nhận %2% 3 dòng, nhưng đã nhận <%4> dòng.
В таблице <%1> ожидали получить больше <%2> строк, а получили <%3> строк.	Trong bảng <%1> dự kiến nhận hơn <%2> dòng, nhưng đã nhận <%3> dòng.
В таблице <%1> ожидали получить больше или равно <%2> строк, а получили <%3> строк.	Trong bảng <%1> dự kiến nhận nhiều hơn hoặc bằng <%2> dòng, nhưng đã nhận <%3> dòng.
В таблице <%1> ожидали получить меньше <%2> строк, а получили <%3> строк.	Trong bảng <%1> dự kiến nhận ít hơn <%2> dòng, nhưng đã nhận <%3> dòng.
В таблице <%1> ожидали получить меньше или равно <%2> строк, а получили <%3> строк.	Trong bảng <%1> dự kiến nhận ít hơn hoặc bằng <%2> dòng, nhưng đã nhận <%3> dòng.
В таблице <%1> отсутствует колонка <%2>, указанная в параметрах.	Trong bảng <%1> không có cột <%2> đã chỉ ra trong tham số.
В таблице <%1> поле с заголовком <%2> не найдено.	Trong bảng <%1> không tìm thấy trường có tiêu đề <%2>.
В таблице <%1> поле с именем <%2> не найдено.	Trong bảng <%1> không tìm thấy trường có tên gọi <%2>.
В таблице <%1> у поля <%2> ожидали открытия выпадающего списка, но не дождались.	Trong bảng <%1> tại trường <%2> dự kiến mở ra danh sách sổ xuống, nhưng không như mong đợi.
В таблице не найдена колонка <%1>	Trong bảng không tìm thấy cột <%1>
В таблице параметров не было передано имя нового профиля. Колонка <Имя подключения>	Không chuyển sang bảng tham số tên gọi của hồ sơ mới. Cột <Tên kết nối>
В таблице подключений уже есть подключение с именем <%1>	Trong bảng kết nối đã có kết nối với tên gọi <%1>
В табличном документе %1 колонок, а ожидалось %2 колонок.	Trong văn bản dạng bảng có %1 cột, nhưng dự kiến có %2 cột.
В табличном документе %1 строк, а ожидалось %2 строк.	Trong văn bản dạng bảng có %1 dòng, nhưng dự kiến có %2 dòng.
В табличном документе %1 строк, а ожидалось, что он пустой.	Trong văn bản dạng bảng có %1 dòng, nhưng dự kiến là văn bảng rỗng.
В табличном документе в колонке <%1> значение не соответствует условию 'Значение в колонке %2 %3'. Текущее значение колонки <%4>. Ряд <%5>, колонка <%6>	Trong văn bản dạng bảng, tại cột <%1> giá trị không tương ứng với điều kiện 'Giá trị trong cột %2 %3'. Giá trị hiện tại của cột <%4>. Hàng <%5>, cột <%6>
В табличном документе в колонке <%1> ожидали значение <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Trong văn bản dạng bảng, tại cột <%1> mong muốn có giá trị <%2>, nhưng đã tìm thấy <%3>. Hàng <%4>, cột <%5>
В табличном документе в колонке <%1> ожидали, что не будет значения <%2>, а нашли <%3>. Ряд <%4>, колонка <%5>	Trong văn bản dạng bảng, tại cột <%1> mong muốn không có giá trị <%2>, nhưng đã tìm thấy <%3>. Hàng <%4>, cột <%5>
В табличном документе в колонке №%1 значение= <%2> , а ожидалось <%3>	Trong văn bản dạng bảng, tại cột số%1 giá trị= <%2> , giá trị mong muốn <%3>
В табличном документе колонка <%1> не найдена.	Trong văn bản dạng bảng không tìm thấy cột <%1>.
В файле <%1> нашли строки, а ожидали, что их нет:%2	Trong tệp <%1> đã tìm thấy các dòng mà dự kiến chúng không có:%2
В файле <%1> не нашли строки, а ожидали, что они там есть:%2	Trong tệp <%1> không tìm thấy các dòng mà dự kiến chúng có:%2
В фиче <%1> сценария <%2> найден тег исключение <%3>	Trong tính năng <%1> của kịch bản <%2> đã tìm thấy nhãn loại trừ <%3>
В фиче <%1> сценария <%2> найден тег отбор <%3>	Trong tính năng <%1> của kịch bản <%2> đã tìm thấy nhãn lọc <%3>
В шаг необходимо передавать таблицу Gherkin, в которой 2 или более строк.	Cần chuyển vào bước này bảng Gherkin, trong đó có từ 2 dòng trở lên.
В эталонной таблице существуют две колонки с одинаковым заголовком: %1	Trong bảng tham chiếu có hai cột với tiêu đề giống nhau: %1
ВерсияVA	ВерсияVA
ВерсияПлатформы	ВерсияПлатформы
Включите флаг <Включить отладочные сообщения> чтобы посмотреть выполняемые команды.	Hãy đặt dấu hộp kiểm <Bật thông báo gỡ rối> để xem các lệnh đang thực thi.
Внутреняя ошибка. Неполное заполнение дерева метаданных. Отсутствует объект, образующий тип - %1	Lỗi nội bộ. Điền chưa đủ cây metadata. Không có đối tượng hình thành kiểu - %1
Внутреняя ошибка. Неполное заполнение структуры ссылочных типов - %1	Lỗi nội bộ. Điền chưa đủ cấu trúc kiểu tham chiếu - %1
Во вложенный сценарий <%1> было передано <%2> таблиц, а он принимает только <%3> таблиц.	Trong kịch bản lồng trong <%1> đã chuyển sang <%2> bảng, nhưng kịch bản chỉ tiếp nhận <%3> bảng.
Возможно это обработка для обычных форм, а не для управляемых форм.	Có thể đây là bộ xử lý dành cho biểu mẫu thường, mà không dành cho biểu mẫu được điều khiển.
Возможно это обработка для управляемых форм, а не для обычных форм.	Có thể đây là bộ xử lý dành cho biểu mẫu được điều khiển, mà không dành cho biểu mẫu thường.
Все проверки пройдены.	Đã tiến hành kiểm tra tất cả.
Вызов метода <%1>: %2	Gọi ra phương thức <%1>: %2
Выпадающий список <%1> не был сформирован.	Chưa tạo danh sách sổ xuống <%1>.
Выпадающий список <%1> не открылся для ввода текста.	Chưa mở ra danh sách sổ xuống <%1> để nhập nội dung.
