Шаг оригинал	Описание	Перевод шага	Перевод описания
Как <Роль>	Специальный текст	As <Role>	Special text
Контекст:	Специальный текст	Background:	Special text
Сценарий: <описание сценария>	Специальный текст	Scenario: <script description>	Special text
Функционал: <описание фичи>	Специальный текст	Feature: <feature description>	Special text
Чтобы <бизнес-эффект>	Специальный текст	To <business effect>	Special text
Я хочу <описание функционала>	Специальный текст	I want <functionality description>	Special text
Fixtures	Категория шагов	Fixtures	Steps category
SikuliX	Категория шагов	SikuliX	Steps category
UI	Категория шагов	UI	Steps category
Автоинструкции	Категория шагов	Autoinstructions	Steps category
Активизировать	Категория шагов	Activate	Steps category
Активизировать TestClient	Категория шагов	Activate TestClient	Steps category
Активизировать поле	Категория шагов	Activate field	Steps category
Активизировать строку	Категория шагов	Activate line	Steps category
Активность	Категория шагов	Activity	Steps category
Буфер обмена	Категория шагов	Clipboard	Steps category
Ввод даты	Категория шагов	Date entry	Steps category
Ввод на основании	Категория шагов	Generation	Steps category
Ввод по строке	Категория шагов	Input by string	Steps category
Ввод текста	Категория шагов	Text input	Steps category
Версия конфигурации	Категория шагов	Configuration version	Steps category
Версия платформы	Категория шагов	Platform version	Steps category
Весь документ	Категория шагов	Entire document	Steps category
Видимость	Категория шагов	Visibility	Steps category
Видимость элементов	Категория шагов	Items visibility	Steps category
Временная таблица	Категория шагов	Opened items panel	Steps category
Время выполнения действия	Категория шагов	Sections panel	Steps category
Всплывающие окна	Категория шагов	Functions panel	Steps category
Встроенный язык	Категория шагов	Built-in language	Steps category
Вхождение таблицы в другую таблицу	Категория шагов	Contains items	Steps category
Выбор из списка	Категория шагов	Current page	Steps category
Выбор строки	Категория шагов	Current window	Steps category
Выделение строк	Категория шагов	Lines selection	Steps category
Выпадающий список	Категория шагов	Drop-down list	Steps category
Генерация уникального номера	Категория шагов	Unique numbers generation	Steps category
Гиперссылки	Категория шагов	Hyperlinks	Steps category
Гиперссылки через расширение	Категория шагов	Hyperlinks via extension	Steps category
Группы	Категория шагов	Groups	Steps category
Добавить строку	Категория шагов	Add a line	Steps category
Доступность	Категория шагов	Availability	Steps category
Доступность элементов	Категория шагов	Items availability	Steps category
Заголовок	Категория шагов	Header	Steps category
Закладки	Категория шагов	Tabs	Steps category
Закрыть главное окно сеанса	Категория шагов	Close session main window	Steps category
