Шаг оригинал	Описание	Перевод шага	Перевод описания
Как <Роль>	Специальный текст	Come <Ruolo>	Testo speciale
Контекст:	Специальный текст	Contesto:	Testo speciale
Сценарий: <описание сценария>	Специальный текст	Scenario: <descrizione scenario>	Testo speciale
Функционал: <описание фичи>	Специальный текст	Funzionalità: <Descrizione Caratteristica>	Testo speciale
Чтобы <бизнес-эффект>	Специальный текст	Per <effetto di business>	Testo speciale
Я хочу <описание функционала>	Специальный текст	Voglio <descrizione funzionale>	Testo speciale
Fixtures	Категория шагов	Fixtures	Categoria dei passaggi
UI	Категория шагов	UI	Categoria dei passaggi
Активность	Категория шагов	Attività	Categoria dei passaggi
Ввод на основании	Категория шагов	Creare in base	Categoria dei passaggi
Видимость	Категория шагов	Visibilità	Categoria dei passaggi
Всплывающие окна	Категория шагов	Pop-up	Categoria dei passaggi
Встроенный язык	Категория шагов	Lingua incorporata	Categoria dei passaggi
Выбор строки	Категория шагов	Scegliere riga	Categoria dei passaggi
Выделение строк	Категория шагов	Seleziona righe	Categoria dei passaggi
Выпадающий список	Категория шагов	Elenco a discesa	Categoria dei passaggi
Гиперссылки	Категория шагов	Link	Categoria dei passaggi
Группы	Категория шагов	Gruppi	Categoria dei passaggi
Добавить строку	Категория шагов	Aggiungere riga	Categoria dei passaggi
Доступность	Категория шагов	Disponibilità	Categoria dei passaggi
Заголовок	Категория шагов	Titolo	Categoria dei passaggi
Заполненность	Категория шагов	Grado di completamento	Categoria dei passaggi
Значение поля	Категория шагов	Valore del campo	Categoria dei passaggi
Иерархический список	Категория шагов	Elenco gerarchico	Categoria dei passaggi
Имя формы	Категория шагов	Nome della forma	Categoria dei passaggi
Календарь	Категория шагов	Calendario	Categoria dei passaggi
Кнопки	Категория шагов	Pulsanti	Categoria dei passaggi
Количество строк	Категория шагов	Quantità delle righe	Categoria dei passaggi
Командный интерфейс	Категория шагов	Interfaccia di comando	Categoria dei passaggi
Контекст	Категория шагов	Contesto	Categoria dei passaggi
Контекст сохраняемый	Категория шагов	Contesto salvato	Categoria dei passaggi
Контекстное меню	Категория шагов	Menu contestuale	Categoria dei passaggi
Новое подключение к той же базе, где запущен TestManager	Категория шагов	Un nuovo collegamento allo stesso database che esegue TestManager	Categoria dei passaggi
Нумерация	Категория шагов	Numerazione	Categoria dei passaggi
Область чтения	Категория шагов	Area di lettura	Categoria dei passaggi
Ожидание значения	Категория шагов	In attesa del valore	Categoria dei passaggi
Ожидание значения таблицы	Категория шагов	In attesa del valore della tabella	Categoria dei passaggi
Ожидание значения элемента	Категория шагов	In attesa valori di elemento	Categoria dei passaggi
Ожидание появления элемента	Категория шагов	In attesa della comparsa dell'elemento	Categoria dei passaggi
Окна	Категория шагов	Finestre	Categoria dei passaggi
Открыть форму объекта	Категория шагов	Aprire forma dell'oggetto	Categoria dei passaggi
Отчеты	Категория шагов	Report	Categoria dei passaggi
Перебор строк	Категория шагов	Scorrimento righe	Categoria dei passaggi
Переключатели	Категория шагов	Interruttori	Categoria dei passaggi
Переход к строке	Категория шагов	Vai alla riga	Categoria dei passaggi
Подключение TestClient	Категория шагов	Collegamento TestClient	Categoria dei passaggi
Подсказка	Категория шагов	Aiuto	Categoria dei passaggi
Поля	Категория шагов	Campi	Categoria dei passaggi
Проверка видимости	Категория шагов	Controllare la visibilità	Categoria dei passaggi
Проверка значения	Категория шагов	Controllare i valori	Categoria dei passaggi
Проверка значения поля	Категория шагов	Controllare il valore del campo	Categoria dei passaggi
Проверка значения таблицы	Категория шагов	Controllare i valori della tabella	Categoria dei passaggi
Проверка колонки	Категория шагов	Controllare colonna	Categoria dei passaggi
Проверка существования	Категория шагов	Verificare l'esistenza	Categoria dei passaggi
Просмотр	Категория шагов	Anteprima	Categoria dei passaggi
Прочее	Категория шагов	Altro	Categoria dei passaggi
Прочитать значение	Категория шагов	Leggere il valore	Categoria dei passaggi
Работа с подключенными TestClient	Категория шагов	Lavorare con TestClient collegato	Categoria dei passaggi
Развернуть/Свернуть	Категория шагов	Espandi / Riduci	Categoria dei passaggi
Редактирование строки	Категория шагов	Modifica la riga	Categoria dei passaggi
Реквизиты	Категория шагов	Requisiti	Categoria dei passaggi
Содержит значения	Категория шагов	Contiene i valori	Categoria dei passaggi
Содержит строки	Категория шагов	Contiene le righe	Categoria dei passaggi
Сообщения пользователю	Категория шагов	Messaggio all'utente	Categoria dei passaggi
Сохранить в файл	Категория шагов	Salva su file	Categoria dei passaggi
Сохранить значение	Категория шагов	Salva il valore	Categoria dei passaggi
Строки	Категория шагов	Righe	Categoria dei passaggi
Таблицы	Категория шагов	Tabelle	Categoria dei passaggi
Табличный документ	Категория шагов	Documento tabellare	Categoria dei passaggi
Удаление строк	Категория шагов	Eliminazione righe	Categoria dei passaggi
Удалить строку	Категория шагов	Elimina riga	Categoria dei passaggi
Файлы	Категория шагов	File	Categoria dei passaggi
Фильтр	Категория шагов	Filtro	Categoria dei passaggi
Флаги	Категория шагов	Flag	Categoria dei passaggi
Формы	Категория шагов	Forma	Categoria dei passaggi
Ячейки	Категория шагов	Celle	Categoria dei passaggi
Дано Табличный документ "%1 РеквизитТабличныйДокумент" стал равен макету "%2 ИмяМакета"	Шаг позволяет проверить, что макет на форме соответствует эталону.	Dato Documento tabellare  "%1 RequisitoDocumentoTabellare" è diventato uguale a "%2 NomeModello"	Passaggio permette controllare che il modello della forma corrisponde allo standard.
Дано Я открываю навигационную ссылку "%1 e1cib/data/Справочник.Справочник1?ref=ad018df0619b11d5458a440b8c472f30"	Открывает навигационную ссылку. Аналог Shift+F11	Dato Io apro un link di navigazione "%1 e1cib/data/Справочник.Справочник1?ref=ad018df0619b11d5458a440b8c472f30"	Si apre un link di navigazione. Analogo Shift+F11
Дано Я открываю основную форму отчета "%1 Отчет1"	Открывает форму отчета по его имени в метаданных	Dato Io apro la forma principale del report "%1 Report1"	Apre la forma del report dal suo nome nei metadati
Дано Я открываю основную форму регистра накопления "%1 РегистрНакопления1"	Открывает основную форму регистра накопления по его имени в метаданных	Dato Io apro la forma principale del registro accumulazione "%1 RegistroAccumulazione1"	Apre la forma principale del registro accumulazione dal suo nome nei metadati
Дано Я открываю основную форму регистра сведений "%1 РегистрСведений1"	Открывает основную форму регистра накопления по его имени в метаданных	Dato Io apro la forma principale del registro accumulazione "%1 РегистрСведений1"	Apre la forma principale del registro accumulazione dal suo nome nei metadati
Затем я жду что в сообщениях пользователю будет подстрока "%1 Нужное мне значение" в течении "%2 30" секунд	Ждет появления в сообщениях пользователю подстроки в течении нужного времени	Quindi mi aspetto che nei messaggi per l'utente appare la stringa "%1 Valore che aspetto" durante "%2 30" secondi	In attesa della comparsa nei messaggi per l'utente della sottostringa entro il tempo desiderato
И в поле "%1 ИмяПоля" я ввожу значение выражения "%2 1+1"	Вычисляет выражение и вводит результат в поле	E nel campo "%1 NomeCampo" inserisco il valore dell'operazione "%2 1+1"	Valuta l'espressione e inserisce il risultato nel campo
И в поле с именем "%1 ИмяПоля" я ввожу значение выражения "%2 1+1"	Вычисляет выражение и вводит результат в поле	E nel campo con il nome "%1 NomeCampo" inserisco il valore dell'operazione "%2 1+1"	Valuta l'espressione e inserisce il risultato nel campo
И в сообщениях пользователю нет одинаковых сообщений	Проверяет, что каждое сообщение пользователю встречается только один раз	E nei messaggi per l'utente non esitono i messaggi identici	Verifica che ogni messaggio per l'utente si verifichi una sola volta
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" доступно не только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	E la tabella "%1 NomeTabella" campo con il nome "%2 NomeRequisito" è disponibile non solo per la visualizzazione	Controllare flag impostato "solo visualizzazione" per i requisiti nella tabella
И область "%1 R1C1:R10C10" табличного документа "%2 ТабДок" соответствует макету "%3 ИмяТабличногоДокумента"	Сравнивает значения указанной области макета с эталоном. Макет ищется сначала в обработке фича файла, затем в каталоге проекта.	E la zona "%1 R1C1:R10C10" del documento tabellare "%2 TabDoc2" corrisponde al modello "%3 NomeDocumentoTabellare"	Confronta i valori della zona indicata con il layout standard. Il modello è cercato prima nella elaborazione di un file funzione, quindi nella directory del progetto.
И обратите внимание "%1 Текст обратите внимание"	Выводит в автовидеоинструкцию нужный текст.	E prestare attenzione a "%1 Testo presta attenzione"	Inserisce nell'autovideoistruzione il testo desiderato.
И у группы страниц "%1 ГруппаСтраниц" текущая страница "%2 ИмяСтраницы"	Проверяет что у заданной группы текущей страницей является указанная	E il gruppo di pagine '%1 GruppoPagine" la pagina corrente è "%2 NomePagina"	Verifica che il gruppo specificato ha la pagina corrente quella indicata
И я выбираю пункт контекстного меню "%1 ИмяПунктаМеню" на элементе формы "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	E io scelgo la voce di menu contestuale "%1 NomeVoceMenu" sull'elemento della forma "%2 ElementoForma"	Seleziona la voce del menu contesto appropriato da un elemento  della forma
И я выбираю пункт контекстного меню "%1 ИмяПунктаМеню" на элементе формы с именем "%2 ЭлементФормы"	Выбирает нужный пункт контекстного меню у элемента формы	E io scelgo di voce del menu contestuale "%1 NomeVoceMenu" sull'elemento della forma denominato "%2 ElementoForma "	Seleziona la voce del menu contesto appropriato da un elemento della forma
И я жду открытия окна "%1 Имя окна" в течении "%2 600" секунд	Ожидает, что окно появится в течении указанного числа секунд	E io attendo l'apertura della finestra "%1 Nome finestra" durante "%2 600" secondi	Si aspetta che la finestra appare entro il numero di secondi specificato
И я жду что таблица "%1 ИмяТаблицы" станет равна данной в течении "%2 20" секунд	Проверяет, что таблица TestClient станет равной таблице Gherkin в течении нужного числа секунд	E sto aspettando che la tabella "%1 NomeTabella" sarà uguale alla presente durante "%2 20" secondi	Verifica che tabella TestClient diventa uguale tabella Gherkin durante numero di secondi desiderato
И я жду что у группы страниц "%1 ГруппаСтраниц" текущей страницей станет "%2 ИмяСтраницы" в течении "%3 20" секунд	Ожидает, что у заданной группы текущей страницей станет нужная группа в течении указанного числа секунд	E mi aspetto che le pagine del gruppo "%1 GruppoPagine" la pagina corrente sarà "%2 NomePagina" durante "%3 20" secondi	Si aspetta che la pagina corrente del gruppo predeterminato diventerà un gruppo desiderato durante un determinato numero di secondi
