Шаг оригинал	Описание	Перевод шага	Перевод описания
Как <Роль>	Специальный текст	Kā <Loma>	Speciālais teksts
Контекст:	Специальный текст	Konteksts:	Speciālais teksts
Сценарий: <описание сценария>	Специальный текст	Scenārijs: <scenārija apraksts>	Speciālais teksts
Функционал: <описание фичи>	Специальный текст	Funkcionalitāte: <funkcionāla apraksts>	Speciālais teksts
Чтобы <бизнес-эффект>	Специальный текст	Lai <biznesa efekts>	Speciālais teksts
Я хочу <описание функционала>	Специальный текст	Es vēlos <funkcionāla apraksts>	Speciālais teksts
Fixtures	Категория шагов	Fixtures	Soļu kategorija
UI	Категория шагов	UI	Soļu kategorija
Активность	Категория шагов	Aktivitāte	Soļu kategorija
Ввод на основании	Категория шагов	Ievade pamatojoties uz...	Soļu kategorija
Видимость	Категория шагов	Redzamība	Soļu kategorija
Всплывающие окна	Категория шагов	Uznirstošie logi	Soļu kategorija
Встроенный язык	Категория шагов	Iebūvētā valoda	Soļu kategorija
Выбор строки	Категория шагов	Rindas izvēle	Soļu kategorija
Выделение строк	Категория шагов	Rindu iezīmēšana	Soļu kategorija
Выпадающий список	Категория шагов	Izkrītošais saraksts	Soļu kategorija
Гиперссылки	Категория шагов	Hipersaites	Soļu kategorija
Группы	Категория шагов	Grupas	Soļu kategorija
Добавить строку	Категория шагов	Pievienot rindu	Soļu kategorija
Доступность	Категория шагов	Pieejamība	Soļu kategorija
Заголовок	Категория шагов	Virsraksts	Soļu kategorija
Заполненность	Категория шагов	Aizpildījums	Soļu kategorija
Значение поля	Категория шагов	Lauka nozīme	Soļu kategorija
Иерархический список	Категория шагов	Hierarhiskais saraksts	Soļu kategorija
Имя формы	Категория шагов	Formas vārds	Soļu kategorija
Календарь	Категория шагов	Kalendārs	Soļu kategorija
Кнопки	Категория шагов	Pogas	Soļu kategorija
Количество строк	Категория шагов	Rindu skaits	Soļu kategorija
Командный интерфейс	Категория шагов	Komandu interfeiss	Soļu kategorija
Контекст	Категория шагов	Konteksts	Soļu kategorija
Контекст сохраняемый	Категория шагов	Konteksts saglabājamais	Soļu kategorija
Контекстное меню	Категория шагов	Konteksta izvēlne	Soļu kategorija
Новое подключение к той же базе, где запущен TestManager	Категория шагов	Jauna pieslēgšanās tai pašai bāzei, kur palaists TestManager	Soļu kategorija
Нумерация	Категория шагов	Numerācija	Soļu kategorija
Область чтения	Категория шагов	Lasīšanas apgabals	Soļu kategorija
Ожидание значения	Категория шагов	Nozīmes gaidīšana	Soļu kategorija
Ожидание значения таблицы	Категория шагов	Tabulas nozīmes gaidīšana	Soļu kategorija
Ожидание значения элемента	Категория шагов	Elementa nozīmes gaidīšana	Soļu kategorija
Ожидание появления элемента	Категория шагов	Elementa parādīšanās gaidīšana	Soļu kategorija
Окна	Категория шагов	Logi	Soļu kategorija
Открыть форму объекта	Категория шагов	Atvērt objekta formu	Soļu kategorija
Отчеты	Категория шагов	Atskaites	Soļu kategorija
Перебор строк	Категория шагов	Rindu izvēle	Soļu kategorija
Переключатели	Категория шагов	Pārslēdzēji	Soļu kategorija
Переход к строке	Категория шагов	Pāreja uz rindu	Soļu kategorija
Подключение TestClient	Категория шагов	TestClient pieslēgšana	Soļu kategorija
Подсказка	Категория шагов	Uzvedne	Soļu kategorija
Поля	Категория шагов	Lauki	Soļu kategorija
Проверка видимости	Категория шагов	Redzamības pārbaude	Soļu kategorija
Проверка значения	Категория шагов	Nozīmes pārbaude	Soļu kategorija
Проверка значения поля	Категория шагов	Lauka nozīmes pārbaude	Soļu kategorija
Проверка значения таблицы	Категория шагов	Tabulas nozīmes pārbaude	Soļu kategorija
Проверка колонки	Категория шагов	Kolonnas pārbaude	Soļu kategorija
Проверка существования	Категория шагов	Esamības pārbaude	Soļu kategorija
Просмотр	Категория шагов	Pārlūkošana	Soļu kategorija
Прочее	Категория шагов	Pārējais	Soļu kategorija
Прочитать значение	Категория шагов	Nolasīt nozīmi	Soļu kategorija
Работа с подключенными TestClient	Категория шагов	Darbs ar pieslēgtiem TestClient	Soļu kategorija
Развернуть/Свернуть	Категория шагов	Izvērst/Sakļaut	Soļu kategorija
Редактирование строки	Категория шагов	Rindas rediģēšana	Soļu kategorija
Реквизиты	Категория шагов	Rekvizīti	Soļu kategorija
Содержит значения	Категория шагов	Satur nozīmes	Soļu kategorija
Содержит строки	Категория шагов	Satur rindas	Soļu kategorija
Сообщения пользователю	Категория шагов	Ziņojumi lietotājam	Soļu kategorija
Сохранить в файл	Категория шагов	Saglabāt failā	Soļu kategorija
Сохранить значение	Категория шагов	Saglabāt nozīmi	Soļu kategorija
Строки	Категория шагов	Rindas	Soļu kategorija
Таблицы	Категория шагов	Tabulas	Soļu kategorija
Табличный документ	Категория шагов	Tabulas dokuments	Soļu kategorija
Удаление строк	Категория шагов	Rindu dzēšana	Soļu kategorija
Удалить строку	Категория шагов	Dzēst rindu	Soļu kategorija
Файлы	Категория шагов	Faili	Soļu kategorija
Фильтр	Категория шагов	Filtrs	Soļu kategorija
Флаги	Категория шагов	Karodziņi	Soļu kategorija
Формы	Категория шагов	Formas	Soļu kategorija
Ячейки	Категория шагов	Šūnas	Soļu kategorija
Дано Табличный документ "%1 РеквизитТабличныйДокумент" стал равен макету "%2 ИмяМакета"	Шаг позволяет проверить, что макет на форме соответствует эталону.	Dots Tabulas dokuments "%1 RekvizītsTabulasDokuments" kļuva vienāds ar maketu "%2 MaketaVārds"	Solis ļauj pārbaudīt, ka makets uz formas atbilst etalonam.
Дано Я открываю навигационную ссылку "%1 e1cib/data/Справочник.Справочник1?ref=ad018df0619b11d5458a440b8c472f30"	Открывает навигационную ссылку. Аналог Shift+F11	Dots Es atveru navigācijas saiti "%1 e1cib/data/Katalogs.Katalogs1?ref=ad018df0619b11d5458a440b8c472f30"	Atver navigācijas saiti. Analogs Shift+F11
Дано Я открываю основную форму отчета "%1 Отчет1"	Открывает форму отчета по его имени в метаданных	Dots Es atveru atskaites "%1 Atskaite1" pamatformu	Atver atskaites formu pēc tās vārda metadatos
Дано Я открываю основную форму регистра накопления "%1 РегистрНакопления1"	Открывает основную форму регистра накопления по его имени в метаданных	Dots Es atveru uzkrājuma reģistra "%1 UzkrājumaReģistrs1" pamatformu	Atver uzkrājumu reģistra pamatformu pēc tā vārda metadatos
Дано Я открываю основную форму регистра сведений "%1 РегистрСведений1"	Открывает основную форму регистра накопления по его имени в метаданных	Dots Es atveru ziņu reģistra "%1 ZiņuReģistrs1" pamatformu	Atver uzkrājumu reģistra pamatformu pēc tā vārda metadatos
Затем я жду что в сообщениях пользователю будет подстрока "%1 Нужное мне значение" в течении "%2 30" секунд	Ждет появления в сообщениях пользователю подстроки в течении нужного времени	Pēc tam es gaidu ka ziņojumos lietotājam būs apakšrinda "%1 Man vajadzīgā nozīme" "%2 30" sekunžu laikā	Gaida, kad ziņojumos lietotājam parādīsies apakšrinda vajadzīgā laika gaitā
И в поле "%1 ИмяПоля" я ввожу значение выражения "%2 1+1"	Вычисляет выражение и вводит результат в поле	Un laukā "%1 LaukaVārds" es ievadu izteiksmes nozīmi "%2 1+1"	Aprēķina izteiksmi un ievada rezultātu laukā
И в поле с именем "%1 ИмяПоля" я ввожу значение выражения "%2 1+1"	Вычисляет выражение и вводит результат в поле	Un laukā ar vārdu "%1 LaukaVārds" es ievadu izteiksmes nozīmi "%2 1+1"	Aprēķina izteiksmi un ievada rezultātu laukā
И в сообщениях пользователю нет одинаковых сообщений	Проверяет, что каждое сообщение пользователю встречается только один раз	Un ziņojumos lietotājam nav vienādu ziņojumu	Pārbauda, ka katrs ziņojums lietotājam sastopams tikai vienu reizi
И В таблице "%1 ИмяТаблицы" поле с именем "%2 ИмяРеквизита" доступно не только для просмотра	Проверка установленного флага "Только просмотр" для реквизита в таблице	Un Tabulā"%1 TabulasVārds" lauks ar vārdu "%2 RekvizītaVārds" pieejams ne tikai pārlūkošanai	Uzstādīta karodziņa "Tikai pārlūkošana" pārbaude rekvizītam tabulā
И область "%1 R1C1:R10C10" табличного документа "%2 ТабДок" соответствует макету "%3 ИмяТабличногоДокумента"	Сравнивает значения указанной области макета с эталоном. Макет ищется сначала в обработке фича файла, затем в каталоге проекта.	Un tabulas dokumenta "%2 TabDok" apgabals "%1 R1C1:R10C10" atbilst maketam "%3 TabulasDokumentaVārds"	Salīdzina norādītā maketa apgabala nozīmes ar etalonu. Makets tiek meklēts vispirms faila funkcionāla apstrādē, pēc tam projekta katalogā.
И обратите внимание "%1 Текст обратите внимание"	Выводит в автовидеоинструкцию нужный текст.	Un pievērsiet uzmanību "%1 Teksts pievērsiet uzmanību"	Izvada autovideoinstrukcijā vajadzīgo tekstu.
