Шаг оригинал	Описание	Перевод шага	Перевод описания	
Как <Роль>	Специальный текст	Ca <Rola>	Textul Special	
Контекст:	Специальный текст	Context:	Textul Special	
Сценарий: <описание сценария>	Специальный текст	Scenariu: <descrierea scenariului>	Textul Special	
Функционал: <описание фичи>	Специальный текст	Funcționalitate: <descrierea funcționalității>	Textul Special	
Чтобы <бизнес-эффект>	Специальный текст	Pentru <busines-effectul>	Textul Special	
Я хочу <описание функционала>	Специальный текст	Eu vreau <descrierea funcționalității>	Textul Special	
Fixtures	Категория шагов	Fixtures	Categoria pasilor	
SikuliX	Категория шагов	SikuliX	Categoria pasilor	
UI	Категория шагов	UI	Categoria pasilor	
Автоинструкции	Категория шагов	Instrucții automatizate	Categoria pasilor	
Активизировать	Категория шагов	Activați	Categoria pasilor	
Активизировать TestClient	Категория шагов	Activați TestClient	Categoria pasilor	
Активизировать поле	Категория шагов	Activați câmpul	Categoria pasilor	
Активизировать строку	Категория шагов	Activați șirul	Categoria pasilor	
Активность	Категория шагов	Activitate	Categoria pasilor	
Буфер обмена	Категория шагов	clipboard	Categoria pasilor	
Ввод даты	Категория шагов	Introducerea datei	Categoria pasilor	
Ввод на основании	Категория шагов	Creare în baza	Categoria pasilor	
Ввод по строке	Категория шагов	Introducere linie	Categoria pasilor	
Ввод текста	Категория шагов	Introducerea textului	Categoria pasilor	
Версия конфигурации	Категория шагов	Versiunea configuratiei	Categoria pasilor	
Версия платформы	Категория шагов	Versiunea platformei	Categoria pasilor	
Весь документ	Категория шагов	Tot documentul	Categoria pasilor	
Видимость	Категория шагов	Viziblitate	Categoria pasilor	
Видимость элементов	Категория шагов	Vizibilitatea elementelor	Categoria pasilor	
Временная таблица	Категория шагов	Tabel temporar	Categoria pasilor	
Время выполнения действия	Категория шагов	Timpul executarii acțiunii	Categoria pasilor	
Всплывающие окна	Категория шагов	Sarcini de fundal	Categoria pasilor	
Встроенный язык	Категория шагов	Limbajul implicit	Categoria pasilor	
Вхождение таблицы в другую таблицу	Категория шагов	Introducerea tabelului într-un alt tabel	Categoria pasilor	
Выбор из списка	Категория шагов	Selectarea din listă	Categoria pasilor	
Выбор строки	Категория шагов	Alegerea rîndului	Categoria pasilor	
Выделение строк	Категория шагов	rînduri bolduite	Categoria pasilor	
Выпадающий список	Категория шагов	Drop-down list	Categoria pasilor	
Гиперссылки	Категория шагов	hyperlink	Categoria pasilor	
Группы	Категория шагов	Grupuri	Categoria pasilor	
Добавить строку	Категория шагов	Adaugă rândul	Categoria pasilor	
Доступность	Категория шагов	Acces	Categoria pasilor	
Доступность элементов	Категория шагов	Disponibilitatea elemtelor	Categoria pasilor	
Заголовок	Категория шагов	Titlu	Categoria pasilor	
Закладки	Категория шагов	Marcaje	Categoria pasilor	
Закрыть главное окно сеанса	Категория шагов	Închideți fereastra principală a sesiunii	Categoria pasilor	
Закрыть сеанс TestClient	Категория шагов	închide sesiunea TestClient	Categoria pasilor	
Заполненность	Категория шагов	Gradul de completare	Categoria pasilor	
Заполнить данными	Категория шагов	Completați datele	Categoria pasilor	
