Шаг оригинал	Описание	Перевод шага	Перевод описания
Как <Роль>	Специальный текст	Như <Vai trò>	Nội dung đặc biệt
Контекст:	Специальный текст	Bối cảnh:	Nội dung đặc biệt
Сценарий: <описание сценария>	Специальный текст	Kịch bản: <mô tả kịch bản>	Nội dung đặc biệt
Функционал: <описание фичи>	Специальный текст	Tính năng: <mô tả tính năng>	Nội dung đặc biệt
Чтобы <бизнес-эффект>	Специальный текст	Để <hiệu quả kinh doanh>	Nội dung đặc biệt
Я хочу <описание функционала>	Специальный текст	Tôi muốn <bản mô tả chức năng>	Nội dung đặc biệt
Fixtures	Категория шагов	Thiết bị	Thể loại các bước
UI	Категория шагов	UI	Thể loại các bước
Автоинструкции	Категория шагов	Tự động hướng dẫn	Thể loại các bước
Активизировать	Категория шагов	Kích hoạt	Thể loại các bước
Ввод даты	Категория шагов	Nhập ngày	Thể loại các bước
Ввод на основании	Категория шагов	Nhập trên cơ sở	Thể loại các bước
Ввод по строке	Категория шагов	Nhập theo dòng	Thể loại các bước
Ввод текста	Категория шагов	Nhập nội dung	Thể loại các bước
Версия платформы	Категория шагов	Phiên bản nền tảng	Thể loại các bước
Весь документ	Категория шагов	Toàn bộ chứng từ	Thể loại các bước
Временная таблица	Категория шагов	Bảng tạm	Thể loại các bước
Всплывающие окна	Категория шагов	Cửa sổ sổ xuống	Thể loại các bước
Встроенный язык	Категория шагов	Ngôn ngữ hệ thống	Thể loại các bước
Выбор из списка	Категория шагов	Chọn từ danh sách	Thể loại các bước
Выбор строки	Категория шагов	Chọn dòng	Thể loại các bước
Выделение строк	Категория шагов	Tách chọn dòng	Thể loại các bước
Выпадающий список	Категория шагов	Danh sách sổ xuống	Thể loại các bước
Гиперссылки	Категория шагов	Đường dẫn	Thể loại các bước
Группы	Категория шагов	Nhуm	Thể loại các bước
Добавить строку	Категория шагов	Thкm dтng	Thể loại các bước
Доступность	Категория шагов	Tính khả dụng	Thể loại các bước
Заголовок	Категория шагов	Tiêu đề	Thể loại các bước
Закладки	Категория шагов	Thẻ	Thể loại các bước
Закрыть сеанс	Категория шагов	Đóng phiên làm việc	Thể loại các bước
Заполненность	Категория шагов	Việc điền	Thể loại các bước
Запомнить значение поля	Категория шагов	Ghi nhớ giá trị trường	Thể loại các bước
Зафиксировать форму	Категория шагов	Cố định biểu mẫu	Thể loại các bước
Значение ячейки таблицы	Категория шагов	Giá trị ô trong bảng	Thể loại các bước
